,SCH_NAME,SCHOOL_YR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,GRADE_CODE,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,PRIMARY_DISABILITY_TYPE,DEC1_CNT
163,Braddock Elementary,2010-2011,SCH,29.0,Fairfax County ,1090.0,01,4.0,M,Y,Y,Y,SLD,12
164,Brandon Middle,2010-2011,SCH,128.0,Virginia Beach City ,790.0,06,3.0,M,Y,N,N,SLD,10
165,Breckinridge Elementary,2010-2011,SCH,12.0,Botetourt County ,220.0,,5.0,F,Y,N,N,OHI,16
166,Breckinridge Middle,2010-2011,SCH,124.0,Roanoke City ,210.0,06,3.0,M,Y,N,Y,SLD,11
167,Bren Mar Park Elementary,2010-2011,SCH,29.0,Fairfax County ,940.0,01,2.0,M,Y,Y,N,SLD,10
168,Brentsville District High,2010-2011,SCH,75.0,Prince William County ,530.0,09,4.0,F,Y,N,N,SLD,11
169,Briar Woods High ,2010-2011,SCH,53.0,Loudoun County ,420.0,09,5.0,M,Y,N,N,OHI,15
170,Brighton Elementary ,2010-2011,SCH,121.0,Portsmouth City ,1766.0,04,3.0,M,Y,N,Y,SLD,10
171,Bristow Run Elementary,2010-2011,SCH,75.0,Prince William County ,860.0,01,5.0,M,Y,N,N,SLI,12
172,Broad Rock Elementary,2010-2011,SCH,123.0,Richmond City ,1100.0,02,3.0,M,Y,N,Y,SLD,10
173,Broad Run High,2010-2011,SCH,53.0,Loudoun County ,740.0,09,4.0,M,Y,N,N,SLD,10
174,Broadus Wood Elementary,2010-2011,SCH,2.0,Albemarle County ,100.0,05,5.0,F,Y,N,N,SLD,10
175,Broadway High,2010-2011,SCH,82.0,Rockingham County ,870.0,09,5.0,M,Y,N,N,SLD,10
176,Brock Road Elementary,2010-2011,SCH,88.0,Spotsylvania County ,400.0,01,5.0,M,Y,N,N,SLI,11
177,Brooke Point High,2010-2011,SCH,89.0,Stafford County ,421.0,09,3.0,M,Y,N,Y,SLD,10
178,Brookfield Elementary,2010-2011,SCH,29.0,Fairfax County ,1790.0,02,4.0,M,Y,Y,N,SLD,10
179,Brookland Middle,2010-2011,SCH,43.0,Henrico County ,500.0,06,3.0,F,Y,N,Y,SLD,11
180,Brookneal Elementary,2010-2011,SCH,16.0,Campbell County ,650.0,02,3.0,M,Y,N,Y,SLD,11
181,Brookville High,2010-2011,SCH,16.0,Campbell County ,720.0,09,5.0,M,Y,N,N,SLD,15
182,Brookville Middle,2010-2011,SCH,16.0,Campbell County ,20.0,06,5.0,M,Y,N,N,SLD,13
183,Brookwood Elementary,2010-2011,SCH,128.0,Virginia Beach City ,630.0,01,5.0,M,Y,N,N,SLI,10
184,Brosville Elementary ,2010-2011,SCH,71.0,Pittsylvania County ,1853.0,,5.0,M,Y,N,N,SLD,11
185,Brownsville Elementary,2010-2011,SCH,2.0,Albemarle County ,941.0,03,5.0,M,Y,N,N,SLI,11
186,Brunswick High,2010-2011,SCH,13.0,Brunswick County ,650.0,09,3.0,M,Y,N,Y,ID,11
187,Bruton High,2010-2011,SCH,98.0,York County ,20.0,09,5.0,M,Y,N,N,OHI,10
188,Buchanan Elementary,2010-2011,SCH,12.0,Botetourt County ,20.0,03,5.0,M,Y,N,N,OHI,11
189,Buckhorn Elementary,2010-2011,SCH,58.0,Mecklenburg County ,1010.0,,3.0,F,Y,N,Y,SLI,10
190,Buckingham County High,2010-2011,SCH,15.0,Buckingham County ,700.0,09,5.0,M,Y,N,Y,ID,10
191,Buckingham County Middle,2010-2011,SCH,15.0,Buckingham County ,721.0,06,5.0,M,Y,N,Y,SLD,12
192,Buckingham Primary,2010-2011,SCH,15.0,Buckingham County ,10.0,,,M,Y,N,Y,,11
193,Buckland Mills Elementary,2010-2011,SCH,75.0,Prince William County ,950.0,01,5.0,M,Y,N,N,SLI,12
194,Bucknell Elementary,2010-2011,SCH,29.0,Fairfax County ,700.0,04,3.0,M,Y,N,Y,SLD,15
195,Buffalo Gap High,2010-2011,SCH,8.0,Augusta County ,660.0,09,5.0,M,Y,N,Y,SLD,11
196,Buffalo Trail Elementary,2010-2011,SCH,53.0,Loudoun County ,450.0,PS,5.0,M,Y,N,N,SLI,10
197,Buford Middle,2010-2011,SCH,104.0,Charlottesville City ,100.0,07,3.0,M,Y,N,Y,OHI,16
198,Bull Run Elementary,2010-2011,SCH,29.0,Fairfax County ,2225.0,01,5.0,M,Y,N,N,DD,12
199,Bull Run Middle,2010-2011,SCH,75.0,Prince William County ,920.0,06,5.0,M,Y,N,N,SLD,17
200,Burkeville Elementary,2010-2011,SCH,67.0,Nottoway County ,310.0,PS,,F,Y,N,Y,DD,10
201,Burlington Elementary,2010-2011,SCH,80.0,Roanoke County ,180.0,01,5.0,M,Y,N,Y,SLI,12
