ï»¿Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2017,Minnesota,COTTONWOOD,,,,,,MS,152,,,0,,,1,,,147,1,126,4,150,2,,,148,2,2,,,148,2,148,2,,,143,1,,,,,
2017,Minnesota,CROW WING,,,,,,MS,788,,,0,,,7,,,730,39,738,32,770,15,,,762,23,23,,,765,16,774,12,,,721,47,,,,,
2017,Minnesota,DAKOTA,,,,,,MS,5530,,,4,,,45,,,5326,129,5290,137,5373,99,,,5391,126,136,,,5398,103,5398,107,,,5310,141,,,,,
2017,Minnesota,DODGE,,,,,,MS,328,,,0,,,0,,,317,2,316,2,321,1,,,323,1,1,,,322,1,323,1,,,316,5,,,,,
2017,Minnesota,DOUGLAS,,,,,,MS,455,,,0,,,5,,,441,14,429,12,446,7,,,441,9,9,,,442,8,445,7,,,439,16,,,,,
2017,Minnesota,FARIBAULT,,,,,,MS,144,,,0,,,0,,,139,0,143,1,144,0,,,143,1,2,,,143,1,138,1,,,136,1,,,,,
2017,Minnesota,FILLMORE,,,,,,MS,177,,,0,,,1,,,151,1,164,2,172,1,,,168,2,2,,,173,1,173,1,,,146,1,,,,,
2017,Minnesota,FREEBORN,,,,,,MS,324,,,0,,,4,,,287,6,308,7,315,5,,,315,5,5,,,314,5,315,5,,,286,6,,,,,
2017,Minnesota,GOODHUE,,,,,,MS,419,,,0,,,5,,,399,12,393,16,407,10,,,402,11,12,,,409,8,405,7,,,396,13,,,,,
2017,Minnesota,GRANT,,,,,,MS,82,,,0,,,0,,,75,1,79,1,81,1,,,80,1,1,,,79,1,82,0,,,76,1,,,,,
2017,Minnesota,HENNEPIN,,,,,,MS,14572,,,13,,,133,,,13457,282,13876,376,14100,270,,,14107,285,307,,,14131,253,14091,254,,,13300,312,,,,,
2017,Minnesota,HOUSTON,,,,,,MS,362,,,0,,,0,,,313,9,334,9,346,6,,,344,8,9,,,350,6,347,8,,,309,9,,,,,
2017,Minnesota,HUBBARD,,,,,,MS,209,,,0,,,1,,,204,3,203,3,208,1,,,206,2,2,,,207,1,207,2,,,204,3,,,,,
2017,Minnesota,ISANTI,,,,,,MS,492,,,0,,,4,,,402,9,441,13,450,5,,,452,7,7,,,454,5,450,5,,,391,10,,,,,
2017,Minnesota,ITASCA,,,,,,MS,538,,,0,,,6,,,513,21,508,20,528,10,,,524,14,15,,,525,12,529,9,,,511,23,,,,,
2017,Minnesota,JACKSON,,,,,,MS,118,,,0,,,0,,,110,0,105,4,116,2,,,114,3,3,,,115,3,115,3,,,108,3,,,,,
2017,Minnesota,KANABEC,,,,,,MS,161,,,0,,,1,,,158,3,155,5,157,4,,,156,5,5,,,157,4,157,4,,,154,7,,,,,
2017,Minnesota,KANDIYOHI,,,,,,MS,504,,,0,,,6,,,485,11,478,12,494,10,,,495,9,11,,,491,9,494,7,,,481,11,,,,,
2017,Minnesota,KITTSON,,,,,,MS,50,,,0,,,3,,,40,3,45,3,47,3,,,46,3,3,,,47,3,43,3,,,41,3,,,,,
2017,Minnesota,KOOCHICHING,,,,,,MS,123,,,0,,,1,,,119,3,113,3,120,3,,,119,4,4,,,120,3,120,3,,,119,4,,,,,
2017,Minnesota,LAC QUI PARLE,,,,,,MS,104,,,0,,,2,,,95,3,99,2,100,4,,,102,2,2,,,102,2,102,2,,,94,4,,,,,
2017,Minnesota,LAKE,,,,,,MS,122,,,0,,,4,,,115,6,116,4,118,4,,,118,4,4,,,118,4,118,4,,,114,6,,,,,
2017,Minnesota,LAKE OF THE WOODS,,,,,,MS,39,,,0,,,1,,,37,2,37,2,37,2,,,37,2,2,,,38,1,38,1,,,38,1,,,,,
2017,Minnesota,LE SUEUR,,,,,,MS,297,,,0,,,2,,,290,4,284,5,292,3,,,292,4,4,,,291,5,291,5,,,288,5,,,,,
2017,Minnesota,LINCOLN,,,,,,MS,0,,,0,,,0,,,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,,,0,0,,,,,
2017,Minnesota,LYON,,,,,,MS,491,,,0,,,2,,,466,2,464,8,481,5,,,480,7,8,,,482,8,482,9,,,464,2,,,,,
2017,Minnesota,MAHNOMEN,,,,,,MS,111,,,0,,,0,,,109,2,107,1,110,1,,,111,0,0,,,110,1,110,1,,,109,2,,,,,
2017,Minnesota,MARSHALL,,,,,,MS,98,,,0,,,1,,,97,1,95,2,97,1,,,97,1,1,,,97,1,97,1,,,97,1,,,,,
