ï»¿Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2012,Pennsylvania,Lycoming,,,,,,KG,1351,,,5,,,,0,12,0,,1148,,1317,,,,1153,,,,,1324,,1260,,,,0,,,,,,
2012,Pennsylvania,Lycoming,,,,,,MS,1365,,,22,,,,0,31,1064,,1220,,1340,,,,1341,,,,,1341,,1341,,,,1092,,,,,,
2012,Pennsylvania,McKean,,,,,,KG,497,,,1,,,,0,1,0,,441,,487,,,,444,,,,,493,,460,,,,0,,,,,,
2012,Pennsylvania,McKean,,,,,,MS,462,,,1,,,,0,4,434,,438,,459,,,,460,,,,,461,,461,,,,427,,,,,,
2012,Pennsylvania,Mercer,,,,,,KG,1263,,,6,,,,0,23,0,,1127,,1225,,,,1137,,,,,1240,,1191,,,,0,,,,,,
2012,Pennsylvania,Mercer,,,,,,MS,1648,,,13,,,,0,36,1438,,1505,,1583,,,,1584,,,,,1586,,1585,,,,1387,,,,,,
2012,Pennsylvania,Mifflin,,,,,,KG,500,,,0,,,,0,8,0,,449,,483,,,,453,,,,,484,,465,,,,0,,,,,,
2012,Pennsylvania,Mifflin,,,,,,MS,531,,,3,,,,0,69,278,,407,,457,,,,455,,,,,459,,460,,,,328,,,,,,
2012,Pennsylvania,Monroe,,,,,,KG,1822,,,6,,,,0,53,0,,1498,,1742,,,,1523,,,,,1760,,1625,,,,0,,,,,,
2012,Pennsylvania,Monroe,,,,,,MS,2326,,,17,,,,0,58,1866,,2184,,2270,,,,2280,,,,,2286,,2272,,,,1848,,,,,,
2012,Pennsylvania,Montgomery,,,,,,KG,10707,,,58,,,,0,199,0,,9043,,10217,,,,9242,,,,,10391,,9827,,,,0,,,,,,
2012,Pennsylvania,Montgomery,,,,,,MS,11312,,,68,,,,0,220,9387,,10610,,11096,,,,11130,,,,,11146,,11096,,,,9406,,,,,,
2012,Pennsylvania,Montour,,,,,,KG,222,,,0,,,,0,3,0,,216,,220,,,,218,,,,,222,,220,,,,0,,,,,,
2012,Pennsylvania,Montour,,,,,,MS,225,,,0,,,,0,43,186,,182,,197,,,,194,,,,,197,,196,,,,188,,,,,,
2012,Pennsylvania,Northampton,,,,,,KG,3691,,,13,,,,0,56,0,,3252,,3530,,,,3372,,,,,3582,,3438,,,,0,,,,,,
2012,Pennsylvania,Northampton,,,,,,MS,3761,,,24,,,,0,54,3212,,3565,,3710,,,,3710,,,,,3720,,3713,,,,3094,,,,,,
2012,Pennsylvania,Northumberland,,,,,,KG,1057,,,1,,,,0,8,0,,978,,1034,,,,982,,,,,1038,,1017,,,,0,,,,,,
2012,Pennsylvania,Northumberland,,,,,,MS,1036,,,7,,,,0,20,925,,964,,1011,,,,1008,,,,,1011,,1011,,,,906,,,,,,
2012,Pennsylvania,Perry,,,,,,KG,500,,,4,,,,0,10,0,,447,,484,,,,459,,,,,480,,473,,,,0,,,,,,
2012,Pennsylvania,Perry,,,,,,MS,515,,,11,,,,0,24,425,,448,,495,,,,493,,,,,500,,497,,,,411,,,,,,
2012,Pennsylvania,Philadelphia,,,,,,KG,18055,,,23,,,,0,113,0,,15441,,16355,,,,15606,,,,,16412,,15696,,,,0,,,,,,
2012,Pennsylvania,Philadelphia,,,,,,MS,14860,,,26,,,,0,82,11542,,12930,,14035,,,,14171,,,,,14182,,13949,,,,11507,,,,,,
2012,Pennsylvania,Pike,,,,,,KG,475,,,4,,,,0,6,0,,453,,466,,,,462,,,,,471,,465,,,,0,,,,,,
2012,Pennsylvania,Pike,,,,,,MS,682,,,2,,,,0,11,641,,627,,674,,,,674,,,,,675,,674,,,,654,,,,,,
2012,Pennsylvania,Potter,,,,,,KG,210,,,2,,,,0,3,0,,187,,210,,,,188,,,,,208,,206,,,,0,,,,,,
2012,Pennsylvania,Potter,,,,,,MS,241,,,0,,,,0,14,207,,201,,227,,,,228,,,,,225,,227,,,,199,,,,,,
2012,Pennsylvania,Schuylkill,,,,,,KG,1518,,,3,,,,0,20,0,,1341,,1478,,,,1357,,,,,1480,,1409,,,,0,,,,,,
2012,Pennsylvania,Schuylkill,,,,,,MS,1592,,,9,,,,0,16,1372,,1490,,1568,,,,1569,,,,,1574,,1564,,,,1374,,,,,,
2012,Pennsylvania,Snyder,,,,,,KG,370,,,0,,,,0,11,0,,356,,365,,,,357,,,,,365,,363,,,,0,,,,,,
2012,Pennsylvania,Snyder,,,,,,MS,452,,,0,,,,0,32,372,,389,,418,,,,422,,,,,424,,422,,,,375,,,,,,
2012,Pennsylvania,Somerset,,,,,,KG,752,,,2,,,,0,8,0,,675,,734,,,,679,,,,,740,,721,,,,0,,,,,,
2012,Pennsylvania,Somerset,,,,,,MS,863,,,6,,,,0,35,727,,788,,831,,,,834,,,,,839,,836,,,,726,,,,,,
2012,Pennsylvania,Sullivan,,,,,,KG,64,,,0,,,,0,0,0,,45,,63,,,,49,,,,,63,,50,,,,0,,,,,,
2012,Pennsylvania,Sullivan,,,,,,MS,40,,,0,,,,0,0,36,,36,,40,,,,40,,,,,40,,40,,,,36,,,,,,
