ï»¿Year,State,County,School District ,City ,Number Reporting,School,Public/Private,Age,Total_enrolled,Total_Complete,Total_Exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No Record
2017,Texas,Hopkins,,,,,,,6787,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Houston,,,,,,,3149,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Howard,,,,,,,5736,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hudspeth,,,,,,,589,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hunt,,,,,,,15120,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Hutchinson,,,,,,,4263,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Irion,,,,,,,277,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Jack,,,,,,,1643,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Jackson,,,,,,,3524,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Jasper,,,,,,,6417,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Jeff Davis,,,,,,,259,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Jefferson,,,,,,,41745,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Jim Hogg,,,,,,,1151,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Jim Wells,,,,,,,8223,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Johnson,,,,,,,35461,,,,,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Jones,,,,,,,2682,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Karnes,,,,,,,2597,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Kaufman,,,,,,,28992,,,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Kendall,,,,,,,9926,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Kenedy,,,,,,,78,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Kent,,,,,,,152,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Kerr,,,,,,,6912,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Kimble,,,,,,,615,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,King,,,,,,,104,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Kinney,,,,,,,585,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Kleberg,,,,,,,5256,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
