Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2017,Tennessee,Clay ,,,,,,KG,89,89,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Cocke,,,,,,KG,408,398,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Coffee,,,,,,KG,661,634,,0,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Crockett,,,,,,KG,208,205,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Cumberland ,,,,,,KG,533,519,,2,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Tennessee,Davidson,,,,,,KG,7721,7354,,3,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,29
2017,Tennessee,Decatur,,,,,,KG,119,114,,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Dekalb,,,,,,KG,216,210,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Dickson,,,,,,KG,569,544,,2,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,1
2017,Tennessee,Dyer,,,,,,KG,465,489,,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Fayette,,,,,,KG,322,317,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Fentress,,,,,,KG,189,163,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,14
2017,Tennessee,Franklin ,,,,,,KG,382,371,,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3
2017,Tennessee,Gibson ,,,,,,KG,709,681,,0,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,1
