ï»¿Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2015,Indiana,Noble,,,,,,KG,725,479,,,,,,,,574,,601,,561,,518,,609,,,,,602,,522,,,,0,,,,,,
2015,Indiana,Noble,,,,,,MS,777,601,,,,,,,,743,,602,,743,,N/A,,689,,,,,674,,593,,,,710,,,,,,
2015,Indiana,Ohio,,,,,,KG,61,33,,,,,,,,42,,44,,48,,40,,44,,,,,40,,35,,,,0,,,,,,
2015,Indiana,Ohio,,,,,,MS,83,42,,,,,,,,64,,44,,63,,N/A,,58,,,,,58,,54,,,,80,,,,,,
2015,Indiana,Orange,,,,,,KG,259,152,,,,,,,,221,,227,,225,,171,,233,,,,,222,,204,,,,0,,,,,,
2015,Indiana,Orange,,,,,,MS,311,235,,,,,,,,299,,238,,298,,N/A,,270,,,,,262,,231,,,,272,,,,,,
2015,Indiana,Owen,,,,,,KG,252,194,,,,,,,,219,,231,,206,,198,,231,,,,,228,,211,,,,0,,,,,,
2015,Indiana,Owen,,,,,,MS,268,197,,,,,,,,260,,234,,263,,N/A,,251,,,,,236,,210,,,,223,,,,,,
2015,Indiana,Parke,,,,,,KG,215,139,,,,,,,,162,,162,,169,,121,,169,,,,,165,,146,,,,0,,,,,,
2015,Indiana,Parke,,,,,,MS,200,148,,,,,,,,186,,150,,185,,N/A,,172,,,,,167,,151,,,,172,,,,,,
2015,Indiana,Perry,,,,,,KG,206,152,,,,,,,,174,,174,,176,,195,,174,,,,,179,,166,,,,0,,,,,,
2015,Indiana,Perry,,,,,,MS,223,163,,,,,,,,217,,189,,218,,N/A,,196,,,,,187,,171,,,,192,,,,,,
2015,Indiana,Pike,,,,,,KG,192,139,,,,,,,,182,,185,,189,,149,,185,,,,,183,,172,,,,0,,,,,,
2015,Indiana,Pike,,,,,,MS,234,190,,,,,,,,222,,199,,225,,N/A,,214,,,,,214,,201,,,,202,,,,,,
2015,Indiana,Porter,,,,,,KG,2079,1107,,,,,,,,1500,,1661,,1162,,1528,,1677,,,,,1628,,1500,,,,0,,,,,,
2015,Indiana,Porter,,,,,,MS,2464,1756,,,,,,,,2248,,1835,,2248,,N/A,,1998,,,,,1921,,1771,,,,1825,,,,,,
2015,Indiana,Posey,,,,,,KG,289,209,,,,,,,,242,,254,,235,,233,,259,,,,,249,,226,,,,0,,,,,,
2015,Indiana,Posey,,,,,,MS,330,254,,,,,,,,322,,273,,323,,N/A,,294,,,,,291,,266,,,,303,,,,,,
2015,Indiana,Pulaski,,,,,,KG,170,131,,,,,,,,154,,160,,159,,134,,160,,,,,155,,141,,,,0,,,,,,
2015,Indiana,Pulaski,,,,,,MS,203,149,,,,,,,,195,,161,,194,,N/A,,181,,,,,174,,152,,,,155,,,,,,
2015,Indiana,Putnam,,,,,,KG,426,260,,,,,,,,336,,359,,307,,274,,361,,,,,359,,316,,,,0,,,,,,
2015,Indiana,Putnam,,,,,,MS,464,355,,,,,,,,444,,382,,443,,N/A,,415,,,,,407,,359,,,,370,,,,,,
2015,Indiana,Randolph,,,,,,KG,344,254,,,,,,,,292,,299,,296,,285,,304,,,,,293,,274,,,,0,,,,,,
2015,Indiana,Randolph,,,,,,MS,375,304,,,,,,,,374,,311,,374,,N/A,,345,,,,,330,,303,,,,314,,,,,,
2015,Indiana,Ripley,,,,,,KG,489,382,,,,,,,,437,,455,,427,,340,,460,,,,,449,,413,,,,0,,,,,,
2015,Indiana,Ripley,,,,,,MS,574,430,,,,,,,,522,,433,,559,,N/A,,509,,,,,496,,454,,,,501,,,,,,
2015,Indiana,Rush,,,,,,KG,206,167,,,,,,,,180,,183,,177,,145,,188,,,,,182,,174,,,,0,,,,,,
2015,Indiana,Rush,,,,,,MS,258,211,,,,,,,,249,,215,,248,,N/A,,239,,,,,232,,221,,,,216,,,,,,
2015,Indiana,Scott,,,,,,KG,285,200,,,,,,,,254,,261,,247,,207,,267,,,,,264,,237,,,,0,,,,,,
2015,Indiana,Scott,,,,,,MS,325,246,,,,,,,,322,,278,,322,,N/A,,299,,,,,285,,259,,,,248,,,,,,
2015,Indiana,Shelby,,,,,,KG,702,466,,,,,,,,564,,605,,489,,534,,612,,,,,605,,550,,,,0,,,,,,
2015,Indiana,Shelby,,,,,,MS,714,550,,,,,,,,684,,595,,688,,N/A,,644,,,,,612,,573,,,,594,,,,,,
2015,Indiana,Spencer,,,,,,KG,217,171,,,,,,,,192,,197,,195,,218,,199,,,,,195,,178,,,,0,,,,,,
2015,Indiana,Spencer,,,,,,MS,241,189,,,,,,,,223,,190,,233,,N/A,,212,,,,,205,,199,,,,206,,,,,,
2015,Indiana,St. Joseph,,,,,,KG,3888,1831,,,,,,,,2184,,2415,,1978,,2093,,2457,,,,,2297,,2002,,,,0,,,,,,
2015,Indiana,St. Joseph,,,,,,MS,4269,2059,,,,,,,,2708,,2288,,2708,,N/A,,2572,,,,,2421,,2053,,,,2513,,,,,,
2015,Indiana,Starke,,,,,,KG,254,110,,,,,,,,193,,192,,198,,127,,199,,,,,194,,182,,,,0,,,,,,
2015,Indiana,Starke,,,,,,MS,290,216,,,,,,,,272,,221,,272,,N/A,,254,,,,,243,,225,,,,219,,,,,,
2015,Indiana,Steuben,,,,,,KG,395,268,,,,,,,,311,,318,,306,,279,,323,,,,,324,,292,,,,0,,,,,,
2015,Indiana,Steuben,,,,,,MS,589,362,,,,,,,,536,,369,,559,,N/A,,460,,,,,444,,415,,,,504,,,,,,
2015,Indiana,Sullivan,,,,,,KG,248,168,,,,,,,,201,,210,,209,,183,,215,,,,,204,,176,,,,0,,,,,,
2015,Indiana,Sullivan,,,,,,KG,268,202,,,,,,,,265,,215,,264,,N/A,,240,,,,,234,,201,,,,241,,,,,,
2015,Indiana,Switzerland,,,,,,MS,134,81,,,,,,,,101,,107,,105,,91,,107,,,,,104,,87,,,,0,,,,,,
2015,Indiana,Switzerland,,,,,,KG,142,91,,,,,,,,124,,98,,124,,N/A,,116,,,,,109,,91,,,,118,,,,,,
2015,Indiana,Tippecanoe,,,,,,MS,2455,1219,,,,,,,,1820,,2023,,1280,,2130,,2044,,,,,1985,,1819,,,,0,,,,,,
2015,Indiana,Tippecanoe,,,,,,KG,2535,1801,,,,,,,,2493,,1959,,2492,,N/A,,2159,,,,,2085,,1835,,,,2164,,,,,,
2015,Indiana,Tipton,,,,,,MS,189,131,,,,,,,,152,,163,,147,,144,,166,,,,,156,,139,,,,0,,,,,,
2015,Indiana,Tipton,,,,,,KG,238,166,,,,,,,,209,,168,,227,,N/A,,196,,,,,192,,182,,,,183,,,,,,
2015,Indiana,Union,,,,,,MS,90,61,,,,,,,,73,,72,,83,,80,,74,,,,,71,,63,,,,0,,,,,,
2015,Indiana,Union,,,,,,KG,141,99,,,,,,,,118,,100,,124,,N/A,,110,,,,,109,,99,,,,102,,,,,,
2015,Indiana,Vanderburgh,,,,,,MS,2293,1396,,,,,,,,1695,,1827,,1522,,1712,,1831,,,,,1817,,1611,,,,0,,,,,,
2015,Indiana,Vanderburgh,,,,,,KG,2213,1542,,,,,,,,2075,,1556,,2074,,N/A,,1692,,,,,1650,,1499,,,,1717,,,,,,
2015,Indiana,Vermillion,,,,,,MS,151,107,,,,,,,,131,,137,,129,,129,,139,,,,,137,,117,,,,0,,,,,,
2015,Indiana,Vermillion,,,,,,KG,234,166,,,,,,,,223,,190,,228,,N/A,,205,,,,,195,,166,,,,188,,,,,,
2015,Indiana,Vigo ,,,,,,MS,1325,840,,,,,,,,1042,,1146,,882,,964,,1161,,,,,1126,,999,,,,0,,,,,,
2015,Indiana,Vigo ,,,,,,KG,1451,1061,,,,,,,,1391,,1174,,1420,,N/A,,1278,,,,,1248,,1100,,,,1362,,,,,,
2015,Indiana,Wabash,,,,,,KG,402,265,,,,,,,,312,,337,,296,,310,,337,,,,,326,,289,,,,0,,,,,,
2015,Indiana,Wabash,,,,,,MS,463,346,,,,,,,,421,,352,,420,,N/A,,391,,,,,378,,343,,,,366,,,,,,
2015,Indiana,Warren,,,,,,KG,112,93,,,,,,,,103,,101,,104,,104,,104,,,,,103,,100,,,,0,,,,,,
2015,Indiana,Warren,,,,,,MS,110,63,,,,,,,,107,,80,,106,,N/A,,88,,,,,84,,64,,,,93,,,,,,
2015,Indiana,Warrick,,,,,,KG,860,577,,,,,,,,717,,745,,612,,725,,769,,,,,750,,714,,,,0,,,,,,
2015,Indiana,Warrick,,,,,,MS,940,592,,,,,,,,727,,616,,726,,N/A,,674,,,,,654,,611,,,,688,,,,,,
2015,Indiana,Washington,,,,,,KG,287,220,,,,,,,,257,,265,,255,,233,,271,,,,,265,,238,,,,0,,,,,,
2015,Indiana,Washington,,,,,,MS,363,286,,,,,,,,362,,290,,361,,N/A,,338,,,,,329,,308,,,,338,,,,,,
2015,Indiana,Wayne,,,,,,KG,941,517,,,,,,,,733,,779,,543,,792,,793,,,,,787,,728,,,,0,,,,,,
2015,Indiana,Wayne,,,,,,MS,936,682,,,,,,,,859,,719,,858,,N/A,,795,,,,,764,,695,,,,688,,,,,,
2015,Indiana,Wells,,,,,,KG,378,270,,,,,,,,307,,322,,283,,336,,326,,,,,322,,296,,,,0,,,,,,
2015,Indiana,Wells,,,,,,MS,387,307,,,,,,,,383,,327,,382,,N/A,,351,,,,,343,,322,,,,344,,,,,,
2015,Indiana,White,,,,,,KG,318,249,,,,,,,,290,,302,,281,,281,,307,,,,,300,,271,,,,0,,,,,,
2015,Indiana,White,,,,,,MS,452,323,,,,,,,,420,,326,,435,,N/A,,386,,,,,368,,326,,,,401,,,,,,
2015,Indiana,Whitley,,,,,,KG,451,307,,,,,,,,379,,408,,329,,400,,414,,,,,406,,368,,,,0,,,,,,
2015,Indiana,Whitley,,,,,,KG,538,403,,,,,,,,497,,407,,520,,N/A,,459,,,,,442,,411,,,,416,,,,,,
