Year,RCDTS,Enrollment ,PBE,PME
2013-2014,060160990022001,1086,0,0
2013-2014,060160990022004,603,1,0
2013-2014,060160990022005,747,0,0
2013-2014,060160990022013,739,0,0
2013-2014,060160990022007,291,0,0
2013-2014,060160990022009,336,0,0
2013-2014,060160990022008,664,0,0
2013-2014,060160990021002,2611,0,0
2013-2014,060160990022012,256,0,0
2013-2014,060160990022011,402,0,0
2013-2014,060160990022010,808,1,0
2013-2014,320380060262001,118,0,0
2013-2014,320380060261001,63,0,0
2013-2014,320380060260001,113,0,0
2013-2014,15016299025229C,349,8,2
2013-2014,15016299025009C,484,0,1
2013-2014,150162990252051,872,0,4
2013-2014,150162990252052,476,5,2
2013-2014,150162990250848,358,0,1
2013-2014,150162990252850,279,0,0
2013-2014,150162990252053,511,2,1
2013-2014,150162990250849,279,1,0
2013-2014,150162990252054,247,0,5
2013-2014,15016299025227C,335,0,0
2013-2014,150162990252912,550,1,0
2013-2014,150162990250001,1231,6,10
2013-2014,150162990252895,561,2,0
2013-2014,150162990252058,324,1,0
2013-2014,150162990252059,1443,4,1
2013-2014,150162990252922,479,3,1
2013-2014,150162990252437,385,0,31
2013-2014,15016299025214C,433,2,0
2013-2014,15016299025008C,1279,0,3
2013-2014,150162990252061,169,0,0
2013-2014,150162990252062,591,11,6
2013-2014,150162990250839,172,0,1
2013-2014,150162990250840,183,0,0
2013-2014,150162990252063,278,0,0
2013-2014,150162990252966,938,0,1
2013-2014,150162990253793,303,0,0
2013-2014,150162990252066,298,0,1
2013-2014,150162990252067,834,3,0
2013-2014,150162990252068,574,0,0
2013-2014,150162990252069,563,0,2
2013-2014,150162990252070,1033,2,3
2013-2014,150162990253760,171,6,4
2013-2014,150162990252800,1393,6,3
2013-2014,150162990252078,1160,7,3
2013-2014,150162990252079,405,2,0
2013-2014,150162990252080,468,1,6
2013-2014,150162990252081,603,2,5
2013-2014,150162990252082,1047,9,5
2013-2014,150162990252923,587,0,0
2013-2014,150162990252083,422,7,0
2013-2014,150162990252086,473,2,3
2013-2014,150162990252087,938,4,2
2013-2014,150162990253761,205,1,1
2013-2014,150162990250003,1114,0,1
2013-2014,150162990252088,421,0,6
2013-2014,150162990252089,798,2,4
2013-2014,150162990252100,673,1,2
2013-2014,150162990250824,443,0,2
2013-2014,150162990252090,830,4,4
2013-2014,150162990252093,490,1,2
2013-2014,150162990252094,416,0,0
2013-2014,150162990252095,1044,8,3
2013-2014,150162990252096,295,0,2
2013-2014,150162990252870,590,1,0
2013-2014,15016299025222C,474,2,1
2013-2014,150162990250834,483,0,0
2013-2014,150162990250788,780,8,5
2013-2014,150162990252097,228,3,0
2013-2014,150162990252367,313,2,2
2013-2014,150162990252098,256,0,1
2013-2014,150162990252110,646,0,3
2013-2014,150162990252101,868,4,7
2013-2014,150162990252102,964,0,3
2013-2014,150162990252103,376,0,3
2013-2014,150162990252104,548,4,1
2013-2014,150162990252105,580,2,2
2013-2014,150162990252107,667,3,0
2013-2014,150162990252108,386,1,4
2013-2014,150162990252109,512,1,0
2013-2014,150162990252112,656,2,2
2013-2014,150162990252113,296,2,2
2013-2014,150162990252934,814,0,4
2013-2014,150162990252118,821,0,0
2013-2014,150162990252963,1004,0,0
2013-2014,150162990252845,93,0,0
2013-2014,150162990252119,826,12,0
2013-2014,150162990252783,701,0,0
2013-2014,150162990252120,674,5,0
2013-2014,150162990252122,546,6,1
2013-2014,150162990252876,1220,0,0
2013-2014,150162990252123,453,3,2
2013-2014,150162990250006,527,0,0
2013-2014,150162990252372,522,0,4
2013-2014,150162990252862,474,0,1
2013-2014,150162990252126,363,3,2
2013-2014,150162990252106,585,0,1
2013-2014,15016299025232C,817,0,1
2013-2014,15016299025228C,515,1,2
2013-2014,15016299025223C,464,0,1
2013-2014,150162990252127,452,1,7
2013-2014,150162990252128,399,0,9
2013-2014,150162990252129,557,1,0
2013-2014,150162990252130,498,1,0
2013-2014,150162990252886,943,0,0
2013-2014,150162990252920,596,3,0
2013-2014,150162990250820,512,0,0
2013-2014,150162990250862,342,0,0
2013-2014,150162990250772,647,4,0
2013-2014,150162990250851,573,13,4
2013-2014,15016299025201C,8633,17,22
2013-2014,15016299025217C,596,1,4
2013-2014,150162990250795,406,1,0
2013-2014,15016299025014C,176,0,0
2013-2014,150162990250850,381,0,0
2013-2014,15016299025225C,667,37,5
2013-2014,150162990250526,960,1,2
2013-2014,150162990252155,586,1,0
2013-2014,150162990252904,357,0,0
2013-2014,150162990252936,482,0,0
2013-2014,150162990252700,286,0,0
2013-2014,150162990250827,493,0,1
2013-2014,150162990252132,569,0,2
2013-2014,150162990250545,698,0,2
2013-2014,150162990252133,677,0,0
2013-2014,150162990252134,1133,6,8
2013-2014,150162990252135,556,7,2
2013-2014,150162990252918,279,1,5
2013-2014,150162990252136,553,1,6
2013-2014,150162990250841,367,1,1
2013-2014,150162990252919,1082,2,2
2013-2014,150162990252138,294,2,0
2013-2014,150162990250846,153,0,0
2013-2014,150162990252139,430,14,1
2013-2014,150162990252141,736,4,1
2013-2014,150162990252142,629,0,2
2013-2014,150162990252145,598,0,1
2013-2014,150162990250543,482,0,3
2013-2014,150162990252921,609,2,4
2013-2014,150162990250008,145,0,0
2013-2014,150162990252147,342,0,4
2013-2014,150162990252617,462,0,1
2013-2014,150162990252637,270,0,8
2013-2014,150162990250617,2874,0,1
2013-2014,150162990252799,623,1,4
2013-2014,150162990252837,688,0,0
2013-2014,150162990252148,589,1,0
2013-2014,150162990252954,332,2,2
2013-2014,150162990252149,908,0,6
2013-2014,150162990252150,1024,3,0
2013-2014,150162990252825,909,3,5
2013-2014,150162990252805,285,2,1
2013-2014,150162990252153,599,3,2
2013-2014,150162990252605,727,0,3
2013-2014,150162990252154,470,1,4
2013-2014,150162990252158,849,1,2
2013-2014,150162990250832,191,0,0
2013-2014,150162990252159,344,0,0
2013-2014,150162990252603,816,5,9
2013-2014,150162990252160,1669,14,7
2013-2014,150162990252949,409,10,3
2013-2014,150162990252161,649,3,4
2013-2014,150162990252927,241,1,3
2013-2014,150162990252937,308,0,0
2013-2014,150162990252167,644,1,1
