Year,RCDTS,Enrollment,PME,PBE
2009-2010,280063400261001,232,0,3
2009-2010,150162990252103,278,1,0
2009-2010,150162990252104,538,0,1
2009-2010,150162990252105,262,0,1
2009-2010,150162990252107,764,0,2
2009-2010,150162990252108,326,0,1
2009-2010,140161320022003,402,0,1
2009-2010,140161320022001,356,3,0
2009-2010,190221800041001,294,0,0
2009-2010,150162990252109,513,0,0
2009-2010,260621700262003,437,1,2
2009-2010,260621700260001,241,0,0
2009-2010,260621700261002,145,1,1
2009-2010,510841860252012,341,0,1
2009-2010,190220530021001,162,0,0
2009-2010,190220440022001,194,0,2
2009-2010,340490700022002,597,1,3
2009-2010,490810400222007,365,1,2
2009-2010,150162990252112,706,1,4
2009-2010,470712260260001,565,0,1
2009-2010,470712260261001,364,0,1
2009-2010,410570020262008,651,0,0
2009-2010,530901080022008,312,0,0
2009-2010,190222010262002,207,0,1
2009-2010,310451310221002,995,0,0
2009-2010,041012050252017,439,3,1
2009-2010,310451310222011,405,1,0
2009-2010,310451310222005,1104,0,0
2009-2010,280372230262002,529,0,2
2009-2010,19022080X010000,37,0,0
2009-2010,500821870262014,432,0,0
2009-2010,020020010220001,213,0,0
2009-2010,150162990252113,395,0,1
2009-2010,040041000262003,604,1,0
2009-2010,400070400262001,370,0,0
2009-2010,400070400260001,203,0,0
2009-2010,150162990252114,387,1,1
2009-2010,140161320022002,331,5,0
2009-2010,14016243X260000,338,0,0
2009-2010,51084043Z140000,302,0,3
2009-2010,17064011Z020000,293,0,1
2009-2010,22029013Z020000,26,0,0
2009-2010,48072095Z020000,63,8,0
2009-2010,26062002X200000,49,0,1
2009-2010,34049070X260000,124,0,0
2009-2010,19022109X260000,345,0,3
2009-2010,14016214X030000,235,0,0
2009-2010,480721500251006,275,0,0
2009-2010,280372270262001,298,1,4
2009-2010,280372270260002,222,0,3
2009-2010,150162990252118,983,0,0
2009-2010,140160540042005,550,2,3
2009-2010,09010007X010000,28,0,0
2009-2010,09010034X260000,45,0,2
2009-2010,540921180242001,243,0,0
2009-2010,150162990252845,220,0,2
2009-2010,440630470042001,527,0,5
2009-2010,220290660250001,788,0,1
2009-2010,310450460221045,736,3,1
2009-2010,380652130262003,428,0,0
2009-2010,380652130262001,226,0,0
2009-2010,150162990252119,731,1,4
2009-2010,040042000262001,201,0,0
2009-2010,300391650160001,985,0,14
2009-2010,300390950021004,384,2,4
2009-2010,30039004X010000,47,0,7
2009-2010,150162990252783,620,0,0
2009-2010,14016892X100000,207,0,1
2009-2010,14016577X100000,678,2,0
2009-2010,110150010262003,565,0,3
2009-2010,190222000262011,420,1,19
2009-2010,560990860052013,314,0,0
2009-2010,140162300130001,3743,6,12
2009-2010,140160150041014,535,0,1
2009-2010,080891450222015,630,0,2
2009-2010,340490750021004,630,1,2
2009-2010,140160360021005,503,0,1
2009-2010,400560010262004,192,0,3
2009-2010,400560010260002,424,0,4
2009-2010,400560010262006,208,0,3
2009-2010,400560010261001,316,1,3
2009-2010,400560010262005,334,0,5
2009-2010,170640050262004,136,0,0
2009-2010,130140010262002,425,1,3
2009-2010,130140010260001,366,0,3
2009-2010,130140010261001,374,2,1
2009-2010,340490600262004,741,0,0
2009-2010,34049069Y100000,1404,1,0
2009-2010,200970050261007,299,2,0
2009-2010,200970050260001,415,0,0
2009-2010,150162990252120,700,0,2
2009-2010,140161490022009,322,1,2
2009-2010,190220930042001,273,2,0
2009-2010,140161490022005,853,0,0
2009-2010,110230950252006,268,0,0
2009-2010,150162990252121,210,0,0
2009-2010,310453000261001,635,0,2
2009-2010,090100040262008,400,1,3
2009-2010,200830020262002,325,0,0
2009-2010,200830020260001,139,0,0
2009-2010,38054001X100000,106,0,0
2009-2010,150162990252122,625,0,0
2009-2010,400310010262001,452,2,0
2009-2010,400310010260003,221,0,0
2009-2010,300391860262009,439,0,5
2009-2010,150162990252876,1318,1,0
2009-2010,150162990252123,435,0,0
2009-2010,211000050260001,508,0,3
2009-2010,211000050261001,544,0,2
2009-2010,260343170041006,177,1,0
2009-2010,260343170042005,287,0,4
2009-2010,150162990250006,503,0,0
2009-2010,150162990252372,476,0,0
2009-2010,440630260041004,764,0,7
2009-2010,440631550160002,1884,1,9
2009-2010,150162990252862,485,0,0
2009-2010,410570100262006,368,1,0
2009-2010,11012004C260001,361,1,1
2009-2010,11012004C261001,143,1,0
2009-2010,190220630021001,380,1,1
2009-2010,150162990252126,331,0,1
2009-2010,150162990252106,576,0,0
2009-2010,150162990252947,332,0,0
2009-2010,15016299025223C,389,2,0
2009-2010,51084002X100000,156,0,0
2009-2010,50082008X100000,166,0,0
2009-2010,56099002X100000,522,0,1
2009-2010,150162990252127,247,1,0
2009-2010,14016004X010000,483,3,2
2009-2010,540920050262001,373,0,3
2009-2010,540920050260002,159,1,1
2009-2010,240470880262003,372,0,0
2009-2010,350500440022001,364,1,1
2009-2010,470712220262001,315,0,2
2009-2010,090100040260001,1450,1,4
2009-2010,140161350022012,498,1,6
2009-2010,310450460222047,522,0,2
2009-2010,431020110262001,206,1,0
2009-2010,080891450222004,290,1,1
2009-2010,200961120042001,425,0,0
2009-2010,010010030262008,119,0,1
2009-2010,110870210260001,287,0,0
2009-2010,110870210261001,213,0,0
2009-2010,17064003Y100000,411,1,0
2009-2010,130581330022001,218,0,0
2009-2010,130140710160001,592,0,1
2009-2010,270942380263001,111,0,0
2009-2010,280372290262002,355,0,0
2009-2010,140160390022002,550,4,3
2009-2010,140160620042002,297,1,5
2009-2010,140160960022003,388,3,0
2009-2010,170534290042002,366,0,0
2009-2010,220290970262002,268,2,0
2009-2010,350501410022009,408,0,2
2009-2010,380540270022004,209,0,0
2009-2010,410570010262004,454,3,0
