Year,RCDTS,Enrollment,PBE,PME
2007-2008,140160640042001,370,1,1
2007-2008,140161220022001,367,1,1
2007-2008,140160590042009,390,1,3
2007-2008,140161510022006,402,1,0
2007-2008,140161400022004,410,1,0
2007-2008,140160590042001,418,1,2
2007-2008,140160740021001,421,1,0
2007-2008,140161090022001,425,3,0
2007-2008,140160340042005,435,1,0
2007-2008,140160390022003,444,0,0
2007-2008,140161620022009,448,1,1
2007-2008,140160970022009,453,1,1
2007-2008,140161700022002,461,1,0
2007-2008,140160250022005,464,1,1
2007-2008,140160390022006,487,1,0
2007-2008,140161090022006,498,1,0
2007-2008,140160360022004,502,1,0
2007-2008,140160590042019,507,1,1
2007-2008,140160210042003,511,1,0
2007-2008,140161010021006,515,1,1
2007-2008,140161170022004,517,1,2
2007-2008,140160800022001,523,1,0
2007-2008,140160260022001,552,1,0
2007-2008,140160150042013,550,1,0
2007-2008,140160690021003,554,2,0
2007-2008,140160540042018,562,1,2
2007-2008,140161440021002,748,1,0
2007-2008,140161940021001,568,0,1
2007-2008,140160310022002,571,1,0
2007-2008,140160630022012,586,1,2
2007-2008,140160540041018,603,1,4
2007-2008,140161170022003,609,1,0
2007-2008,140161420021001,606,1,0
2007-2008,140160810022001,621,1,1
2007-2008,140160350021001,615,1,1
2007-2008,140160340041007,665,1,0
2007-2008,140161600021001,700,1,0
2007-2008,140160540041012,685,1,3
2007-2008,140160210041007,703,1,1
2007-2008,140160150041016,724,1,1
2007-2008,140161350021005,768,1,4
2007-2008,140160150041011,804,1,2
2007-2008,140161590021001,827,1,0
2007-2008,140160990022005,838,1,0
2007-2008,140161350021006,838,1,2
2007-2008,140160390022007,846,1,0
2007-2008,140160990022010,904,1,0
2007-2008,140160590041010,926,1,0
2007-2008,140160210042015,944,1,2
2007-2008,140161230021001,1038,2,2
2007-2008,140162010170003,1263,1,0
2007-2008,140162270170001,1324,1,0
2007-2008,140162200170001,1915,0,4
2007-2008,140162140170007,1961,1,3
2007-2008,140162140170004,1946,1,0
2007-2008,140162140170006,1957,2,6
2007-2008,140162110170004,2561,1,2
2007-2008,140161620022010,181,2,1
2007-2008,140160290022001,217,2,1
2007-2008,140161050022003,244,2,0
2007-2008,140160620042012,241,2,0
2007-2008,140161260022002,270,2,0
2007-2008,140161480021002,269,2,0
2007-2008,140160570022008,307,2,0
2007-2008,140160650042015,315,2,0
2007-2008,140161060021003,327,3,0
2007-2008,140160900022005,335,2,2
2007-2008,140161610022002,334,2,1
2007-2008,140160620042010,343,2,0
2007-2008,140161480022009,349,2,0
2007-2008,140160890022002,375,2,0
2007-2008,140160650042010,387,3,5
2007-2008,140160540042011,385,2,1
2007-2008,140160650042005,388,2,1
2007-2008,140161610022006,386,2,1
2007-2008,140160890022008,395,2,0
2007-2008,140161940022002,398,2,0
2007-2008,140161530022002,420,2,0
2007-2008,140160370022003,428,2,1
2007-2008,140161240022002,439,2,2
2007-2008,140160540042013,441,2,0
2007-2008,140160970022005,458,3,0
2007-2008,140161350022001,459,2,0
2007-2008,140160260022003,468,2,1
2007-2008,140161400022005,475,2,0
2007-2008,140161240021001,480,2,0
2007-2008,140160690022001,480,2,0
2007-2008,140164010262003,480,2,0
2007-2008,140161070022002,490,4,0
2007-2008,140161400022001,497,2,0
2007-2008,140160650041012,497,2,0
2007-2008,140161620022003,507,2,0
2007-2008,140161020022003,516,4,0
2007-2008,140160150042019,520,2,1
2007-2008,140160540042030,520,3,0
2007-2008,140161350022008,530,3,0
2007-2008,140161350021004,545,2,1
2007-2008,140161530021003,560,2,0
