,Year,State,FIPS,Age,Total_enrolled,PBE_total,PBE_total-philosophy,PBE_total-religion,MED_EXEMPT,NME_EXEMPT,TOT_EXEMPT,TOT_EXEMPT_RATE,MED_EXEMPT_RATE,NME_EXEMPT_RATE,RELIG_RATE,PHILOS_RATE,PERTUSSIS_EXEMPT,PERTUSSIS_EXEMPT_RATE,VARICELLA_EXEMPT,VARICELLA_EXEMPT_RATE,FLU_EXEMPT,FLU_EXEMPT_RATE,MEASLES_EXEMPT,MEASLES_EXEMPT_RATE,linestyle
43,2000.0,California,06087,KG,3318.0,113.0,0.0,0.0,8.0,113.0,121.0,0.03646775165762507,0.0024110910186859553,0.03405666063893912,0.0,0.0,220.0,0.06630500301386377,0.0,0.0,0.0,0.0,229.0,0.06901748040988548,0
44,2000.0,California,06089,KG,2087.0,23.0,0.0,0.0,6.0,23.0,29.0,0.013895543842836608,0.0028749401054144704,0.011020603737422138,0.0,0.0,86.0,0.041207474844274075,0.0,0.0,0.0,0.0,87.0,0.04168663152850982,0
45,2000.0,California,06091,KG,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,7.0,0.21212121212121213,0.0,0.0,0.0,0.0,8.0,0.24242424242424243,0
46,2000.0,California,06093,KG,349.0,11.0,0.0,0.0,0.0,11.0,11.0,0.03151862464183381,0.0,0.03151862464183381,0.0,0.0,18.0,0.05157593123209169,0.0,0.0,0.0,0.0,23.0,0.0659025787965616,0
47,2000.0,California,06095,KG,5714.0,31.0,0.0,0.0,4.0,31.0,35.0,0.006125306265313266,0.0007000350017500875,0.005425271263563178,0.0,0.0,225.0,0.03937696884844242,0.0,0.0,0.0,0.0,197.0,0.03447672383619181,0
48,2000.0,California,06097,KG,5951.0,121.0,0.0,0.0,8.0,121.0,129.0,0.021677029070744414,0.0013443118803562427,0.02033271719038817,0.0,0.0,332.0,0.05578894303478407,0.0,0.0,0.0,0.0,367.0,0.06167030751134263,0
49,2000.0,California,06099,KG,7795.0,57.0,0.0,0.0,6.0,57.0,63.0,0.008082103912764593,0.0007697241821680564,0.007312379730596536,0.0,0.0,305.0,0.0391276459268762,0.0,0.0,0.0,0.0,292.0,0.03745991019884541,0
50,2000.0,California,06101,KG,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.013968775677896467,0.0,0.0,0.0,0.0,15.0,0.012325390304026294,0
51,2000.0,California,06103,KG,768.0,9.0,0.0,0.0,2.0,9.0,11.0,0.014322916666666666,0.0026041666666666665,0.01171875,0.0,0.0,29.0,0.037760416666666664,0.0,0.0,0.0,0.0,22.0,0.028645833333333332,0
52,2000.0,California,06105,KG,105.0,4.0,0.0,0.0,1.0,4.0,5.0,0.047619047619047616,0.009523809523809525,0.0380952380952381,0.0,0.0,11.0,0.10476190476190476,0.0,0.0,0.0,0.0,12.0,0.11428571428571428,0
53,2000.0,California,06107,KG,7134.0,30.0,0.0,0.0,7.0,30.0,37.0,0.005186431174656574,0.0009812167087188113,0.004205214465937763,0.0,0.0,244.0,0.03420241098962714,0.0,0.0,0.0,0.0,242.0,0.03392206335856462,0
54,2000.0,California,06109,KG,559.0,21.0,0.0,0.0,0.0,21.0,21.0,0.03756708407871199,0.0,0.03756708407871199,0.0,0.0,56.0,0.1001788908765653,0.0,0.0,0.0,0.0,67.0,0.11985688729874776,0
55,2000.0,California,06111,KG,12238.0,136.0,0.0,0.0,16.0,136.0,152.0,0.012420330119300538,0.0013074031704526884,0.011112926948847851,0.0,0.0,562.0,0.04592253636215068,0.0,0.0,0.0,0.0,647.0,0.05286811570518059,0
56,2000.0,California,06113,KG,2398.0,11.0,0.0,0.0,5.0,11.0,16.0,0.006672226855713094,0.002085070892410342,0.0045871559633027525,0.0,0.0,107.0,0.044620517097581316,0.0,0.0,0.0,0.0,100.0,0.041701417848206836,0
57,2000.0,California,06115,KG,1003.0,8.0,0.0,0.0,2.0,8.0,10.0,0.009970089730807577,0.0019940179461615153,0.007976071784646061,0.0,0.0,56.0,0.05583250249252243,0.0,0.0,0.0,0.0,54.0,0.053838484546360914,0
58,2001.0,California,06001,KG,19392.0,120.0,0.0,0.0,26.0,120.0,146.0,0.007528877887788779,0.0013407590759075907,0.006188118811881188,0.0,0.0,1060.0,0.054661716171617164,1001.0,0.051619224422442246,0.0,0.0,1016.0,0.052392739273927395,0
59,2001.0,California,06003,KG,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.11538461538461539,0.0,0.0,0.0,0.0,3.0,0.11538461538461539,0
