Adequate Immunization Rate,Compliant with Idaho Regulations,Conditional Admit Records Rate,DTaP Adequate Rate,Exemption Record Rate,Grade,Hep. A Adequate Rate,Hep. B Adequate Rate,Incomplete or No Records Rate,MMR Adequate Rate,Meningitis Adequate Rate,Number of Records,Polio Adequate Rate,School District,School Name,School City,SchoolYear,State,Tdap Adequate Rate,Total Adequate,Total Conditional Admit Records,Total Enrollment,Total Exempt,Total Incomplete or No Records,Varicella Adequate Rate,X,Y,Address,City CAPS,City,testing,Zip
71.4%,77.1%,0.0%,82.9%,5.7%,Combined (School-level Rate),N/A,88.6%,22.9%,84.3%,84.3%,1,87.1%,83 West Bonner,Priest River Jr High,Priest River Jr High PRIEST RIVER,2017-2018,ID,82.9%,50,0,70,4,16,N/A,-116.918288,48.180684,5709 Hwy 2,PRIEST RIVER,Priest River,PRIEST RIVER JR HIGH SCHOOL,83856
86.1%,93.1%,0.0%,93.1%,6.9%,First Grade,93.1%,94.4%,6.9%,93.1%,N/A,1,93.1%,273 Post Falls,Greensferry Elementary,Greensferry Elementary POST FALLS,2017-2018,ID,N/A,62,0,72,5,5,91.7%,-116.915748,47.735543,1520 Bunting Lane,POST FALLS,Post Falls,GREENSFERRY ELEMENTARY SCHOOL,83854
86.1%,93.1%,0.0%,93.1%,6.9%,Combined (School-level Rate),93.1%,94.4%,6.9%,93.1%,N/A,1,93.1%,273 Post Falls,Greensferry Elementary,Greensferry Elementary POST FALLS,2017-2018,ID,N/A,62,0,72,5,5,91.7%,-116.915748,47.735543,1520 Bunting Lane,POST FALLS,Post Falls,GREENSFERRY ELEMENTARY SCHOOL,83854
85.7%,85.7%,0.0%,92.9%,0.0%,First Grade,100.0%,100.0%,14.3%,92.9%,N/A,1,100.0%,Private,Coeur d'Alene Tribal,Coeur d'Alene Tribal DESMET,2017-2018,ID,N/A,12,0,14,0,2,85.7%,-116.915590974,47.147619829,30 Moctelme,DESMET,Desmet,COEUR D'ALENE TRIBAL SCHOOL,83824
66.7%,66.7%,0.0%,83.3%,0.0%,Kindergarten,100.0%,91.7%,33.3%,83.3%,N/A,1,91.7%,Private,Coeur d'Alene Tribal,Coeur d'Alene Tribal DESMET,2017-2018,ID,N/A,8,0,12,0,4,75.0%,-116.915590974,47.147619829,30 Moctelme,DESMET,Desmet,COEUR D'ALENE TRIBAL SCHOOL,83824
63.4%,63.4%,0.0%,87.8%,0.0%,Combined (School-level Rate),100.0%,97.6%,36.6%,85.4%,73.3%,1,97.6%,Private,Coeur d'Alene Tribal,Coeur d'Alene Tribal DESMET,2017-2018,ID,66.7%,26,0,41,0,15,80.8%,-116.915590974,47.147619829,30 Moctelme,DESMET,Desmet,COEUR D'ALENE TRIBAL SCHOOL,83824
40.0%,40.0%,0.0%,86.7%,0.0%,Seventh Grade,N/A,100.0%,60.0%,80.0%,73.3%,1,100.0%,Private,Coeur d'Alene Tribal,Coeur d'Alene Tribal DESMET,2017-2018,ID,66.7%,6,0,15,0,9,N/A,-116.915590974,47.147619829,30 Moctelme,DESMET,Desmet,COEUR D'ALENE TRIBAL SCHOOL,83824
88.8%,93.8%,0.0%,93.8%,5.0%,First Grade,95.0%,97.5%,6.3%,95.0%,N/A,1,96.3%,273 Post Falls,Prairie View Elementary,Prairie View Elementary POST FALLS,2017-2018,ID,N/A,71,0,80,4,5,93.8%,-116.914682,47.730384,2478 E. Poleline Rd.,POST FALLS,Post Falls,PRAIRIE VIEW ELEMENTARY SCHOOL,83854
88.8%,93.8%,0.0%,93.8%,5.0%,Combined (School-level Rate),95.0%,97.5%,6.3%,95.0%,N/A,1,96.3%,273 Post Falls,Prairie View Elementary,Prairie View Elementary POST FALLS,2017-2018,ID,N/A,71,0,80,4,5,93.8%,-116.914682,47.730384,2478 E. Poleline Rd.,POST FALLS,Post Falls,PRAIRIE VIEW ELEMENTARY SCHOOL,83854
95.1%,100.0%,0.0%,96.5%,4.9%,Seventh Grade,N/A,98.6%,0.0%,97.2%,95.1%,1,98.6%,373 Fruitland,Fruitland Middle,Fruitland Middle FRUITLAND,2017-2018,ID,96.5%,137,0,144,7,0,N/A,-116.91384,44.005392,800 S Pennsyvania,FRUITLAND,Fruitland,FRUITLAND MIDDLE SCHOOL,83619
95.1%,100.0%,0.0%,96.5%,4.9%,Combined (School-level Rate),N/A,98.6%,0.0%,97.2%,95.1%,1,98.6%,373 Fruitland,Fruitland Middle,Fruitland Middle FRUITLAND,2017-2018,ID,96.5%,137,0,144,7,0,N/A,-116.91384,44.005392,800 S Pennsyvania,FRUITLAND,Fruitland,FRUITLAND MIDDLE SCHOOL,83619
99.1%,100.0%,0.0%,99.1%,0.9%,Seventh Grade,N/A,99.1%,0.0%,99.1%,99.1%,1,99.1%,371 Payette,McCain Middle,McCain Middle PAYETTE,2017-2018,ID,99.1%,107,0,108,1,0,N/A,-116.91309,44.079483,400 N Iowa,PAYETTE,Payette,MCCAIN MIDDLE SCHOOL,83661
99.1%,100.0%,0.0%,99.1%,0.9%,Combined (School-level Rate),N/A,99.1%,0.0%,99.1%,99.1%,1,99.1%,371 Payette,McCain Middle,McCain Middle PAYETTE,2017-2018,ID,99.1%,107,0,108,1,0,N/A,-116.91309,44.079483,400 N Iowa,PAYETTE,Payette,MCCAIN MIDDLE SCHOOL,83661
55.0%,64.9%,0.0%,90.1%,9.9%,Seventh Grade,N/A,90.1%,35.1%,90.1%,62.6%,1,91.9%,273 Post Falls,River City Middle,River City Middle POST FALLS,2017-2018,ID,64.4%,122,0,222,22,78,N/A,-116.909632,47.730347,1505 N. Fir St.,POST FALLS,Post Falls,RIVER CITY MIDDLE SCHOOL,83854
55.0%,64.9%,0.0%,90.1%,9.9%,Combined (School-level Rate),N/A,90.1%,35.1%,90.1%,62.6%,1,91.9%,273 Post Falls,River City Middle,River City Middle POST FALLS,2017-2018,ID,64.4%,122,0,222,22,78,N/A,-116.909632,47.730347,1505 N. Fir St.,POST FALLS,Post Falls,RIVER CITY MIDDLE SCHOOL,83854
66.7%,66.7%,0.0%,84.8%,0.0%,First Grade,72.7%,86.4%,33.3%,83.3%,N/A,1,86.4%,83 West Bonner,Priest River Elementary,Priest River Elementary PRIEST RIVER,2017-2018,ID,N/A,44,0,66,0,22,75.8%,-116.909161,48.185591,231 Harriet Street,PRIEST RIVER,Priest River,PRIEST RIVER ELEMENTARY SCHOOL,83856
63.4%,63.4%,0.0%,81.3%,0.0%,Combined (School-level Rate),69.6%,85.7%,36.6%,79.5%,N/A,1,83.9%,83 West Bonner,Priest River Elementary,Priest River Elementary PRIEST RIVER,2017-2018,ID,N/A,71,0,112,0,41,73.2%,-116.909161,48.185591,231 Harriet Street,PRIEST RIVER,Priest River,PRIEST RIVER ELEMENTARY SCHOOL,83856
58.7%,58.7%,0.0%,76.1%,0.0%,Kindergarten,65.2%,84.8%,41.3%,73.9%,N/A,1,80.4%,83 West Bonner,Priest River Elementary,Priest River Elementary PRIEST RIVER,2017-2018,ID,N/A,27,0,46,0,19,69.6%,-116.909161,48.185591,231 Harriet Street,PRIEST RIVER,Priest River,PRIEST RIVER ELEMENTARY SCHOOL,83856
90.0%,100.0%,0.0%,90.0%,10.0%,First Grade,92.5%,92.5%,0.0%,92.5%,N/A,1,92.5%,133 Wilder,Wilder Elementary,Wilder Elementary WILDER,2017-2018,ID,N/A,36,0,40,4,0,90.0%,-116.905963,43.677138,210  A Ave East,WILDER,Wilder,WHITTIER ELEMENTARY SCHOOL,83676
100.0%,100.0%,0.0%,100.0%,0.0%,Combined (School-level Rate),N/A,100.0%,0.0%,100.0%,100.0%,1,100.0%,133 Wilder,Wilder Middle/High,Wilder Middle/High WILDER,2017-2018,ID,100.0%,51,0,51,0,0,N/A,-116.905962,43.677138,419 Huff Rd,WILDER,Wilder,WILDER ELEMENTARY SCHOOL,83676
100.0%,100.0%,0.0%,100.0%,0.0%,Seventh Grade,N/A,100.0%,0.0%,100.0%,100.0%,1,100.0%,133 Wilder,Wilder Middle/High,Wilder Middle/High WILDER,2017-2018,ID,100.0%,51,0,51,0,0,N/A,-116.905962,43.677138,419 Huff Rd,WILDER,Wilder,WILDER MIDDLE HIGH SCHOOL,83676
42.1%,63.2%,0.0%,42.1%,21.1%,First Grade,42.1%,42.1%,36.8%,42.1%,N/A,1,42.1%,Private,Genesis Preparatory Academy,Genesis Preparatory Academy POST FALLS,2017-2018,ID,N/A,8,0,19,4,7,42.1%,-116.904979173,47.725746108,1866 N Cecil RD,POST FALLS,Post Falls,GENESIS PREPARATORY ACADEMY,83854
27.3%,54.5%,0.0%,27.3%,27.3%,Kindergarten,27.3%,27.3%,45.5%,27.3%,N/A,1,27.3%,Private,Genesis Preparatory Academy,Genesis Preparatory Academy POST FALLS,2017-2018,ID,N/A,3,0,11,3,5,27.3%,-116.904979173,47.725746108,1866 N Cecil RD,POST FALLS,Post Falls,GENESIS PREPARATORY ACADEMY,83854
26.1%,43.5%,0.0%,45.7%,17.4%,Combined (School-level Rate),36.7%,52.2%,56.5%,47.8%,6.3%,1,47.8%,Private,Genesis Preparatory Academy,Genesis Preparatory Academy POST FALLS,2017-2018,ID,6.3%,12,0,46,8,26,36.7%,-116.904979173,47.725746108,1866 N Cecil RD,POST FALLS,Post Falls,GENESIS PREPARATORY ACADEMY,83854
6.3%,12.5%,0.0%,62.5%,6.3%,Seventh Grade,N/A,81.3%,87.5%,68.8%,6.3%,1,68.8%,Private,Genesis Preparatory Academy,Genesis Preparatory Academy POST FALLS,2017-2018,ID,6.3%,1,0,16,1,14,N/A,-116.904979173,47.725746108,1866 N Cecil RD,POST FALLS,Post Falls,GENESIS PREPARATORY ACADEMY,83854
94.7%,100.0%,0.0%,100.0%,5.3%,Seventh Grade,N/A,100.0%,0.0%,100.0%,94.7%,1,100.0%,285 Potlatch,Potlatch Jr/Sr High,Potlatch Jr/Sr High POTLATCH,2017-2018,ID,100.0%,36,0,38,2,0,N/A,-116.902208,46.921674,130 6th St,POTLATCH,Potlatch,POTLATCH JUNIOR SENIOR HIGH,83855
94.7%,100.0%,0.0%,100.0%,5.3%,Combined (School-level Rate),N/A,100.0%,0.0%,100.0%,94.7%,1,100.0%,285 Potlatch,Potlatch Jr/Sr High,Potlatch Jr/Sr High POTLATCH,2017-2018,ID,100.0%,36,0,38,2,0,N/A,-116.902208,46.921674,130 6th St,POTLATCH,Potlatch,POTLATCH JUNIOR SENIOR HIGH,83855
88.4%,98.9%,0.0%,88.4%,10.5%,First Grade,90.5%,90.5%,1.1%,90.5%,N/A,1,90.5%,273 Post Falls,Ponderosa Elementary,Ponderosa Elementary POST FALLS,2017-2018,ID,N/A,84,0,95,10,1,90.5%,-116.90183372,47.701583532,3483 Ponderosa Blvd.,POST FALLS,Post Falls,PONDEROSA ELEMENTARY SCHOOL - MERIDIAN,83854
88.4%,98.9%,0.0%,88.4%,10.5%,Combined (School-level Rate),90.5%,90.5%,1.1%,90.5%,N/A,1,90.5%,273 Post Falls,Ponderosa Elementary,Ponderosa Elementary POST FALLS,2017-2018,ID,N/A,84,0,95,10,1,90.5%,-116.90183372,47.701583532,3483 Ponderosa Blvd.,POST FALLS,Post Falls,PONDEROSA ELEMENTARY SCHOOL - MERIDIAN,83854
84.9%,94.5%,0.0%,93.2%,9.6%,First Grade,89.0%,94.5%,5.5%,91.8%,N/A,1,94.5%,272 Lakeland,Betty Kiefer Elementary,Betty Kiefer Elementary RATHDRUM,2017-2018,ID,N/A,62,0,73,7,4,91.8%,-116.899832,47.798757,13898 Schooner St.,RATHDRUM,Rathdrum,BETTY KIEFER ELEMENTARY SCHOOL,83858
86.5%,94.4%,0.0%,91.3%,7.9%,Combined (School-level Rate),89.7%,92.9%,5.6%,91.3%,N/A,1,92.1%,272 Lakeland,Betty Kiefer Elementary,Betty Kiefer Elementary RATHDRUM,2017-2018,ID,N/A,109,0,126,10,7,91.3%,-116.899832,47.798757,13898 Schooner St.,RATHDRUM,Rathdrum,BETTY KIEFER ELEMENTARY SCHOOL,83858
88.7%,94.3%,0.0%,88.7%,5.7%,Kindergarten,90.6%,90.6%,5.7%,90.6%,N/A,1,88.7%,272 Lakeland,Betty Kiefer Elementary,Betty Kiefer Elementary RATHDRUM,2017-2018,ID,N/A,47,0,53,3,3,90.6%,-116.899832,47.798757,13898 Schooner St.,RATHDRUM,Rathdrum,BETTY KIEFER ELEMENTARY SCHOOL,83858
94.6%,100.0%,0.0%,97.3%,5.4%,First Grade,94.6%,97.3%,0.0%,97.3%,N/A,1,97.3%,285 Potlatch,Potlatch Elementary,Potlatch Elementary POTLATCH,2017-2018,ID,N/A,35,0,37,2,0,97.3%,-116.894338,46.921608,130 6th St,POTLATCH,Potlatch,POTLATCH ELEMENTARY SCHOOL,83855
100.0%,100.0%,0.0%,100.0%,0.0%,Seventh Grade,N/A,100.0%,0.0%,100.0%,100.0%,1,100.0%,44 Plummer-Worley,Lakeside Middle,Lakeside Middle PLUMMER,2017-2018,ID,100.0%,16,0,16,0,0,N/A,-116.892267,47.333023,7077 Minaloosa Valley Rd,PLUMMER,Plummer,LAKESIDE MIDDLE SCHOOL,83851
100.0%,100.0%,0.0%,100.0%,0.0%,Combined (School-level Rate),N/A,100.0%,0.0%,100.0%,100.0%,1,100.0%,44 Plummer-Worley,Lakeside Middle,Lakeside Middle PLUMMER,2017-2018,ID,100.0%,16,0,16,0,0,N/A,-116.892267,47.333023,7077 Minaloosa Valley Rd,PLUMMER,Plummer,LAKESIDE MIDDLE SCHOOL,83851
74.5%,100.0%,0.0%,82.4%,25.5%,First Grade,82.4%,78.4%,0.0%,82.4%,N/A,1,80.4%,Charter,North Idaho Stem Charter Academy,North Idaho Stem Charter Academy RATHDRUM,2017-2018,ID,N/A,38,0,51,13,0,80.4%,-116.8889507,47.8108651,PO Box 434,RATHDRUM,Rathdrum,NORTH IDAHO STEM CHARTER ACADEMY,83858
88.1%,100.0%,0.0%,92.9%,11.9%,Seventh Grade,N/A,95.2%,0.0%,92.9%,88.1%,1,92.9%,Charter,North Idaho Stem Charter Academy,North Idaho Stem Charter Academy RATHDRUM,2017-2018,ID,88.1%,37,0,42,5,0,N/A,-116.8889507,47.8108651,PO Box 434,RATHDRUM,Rathdrum,NORTH IDAHO STEM CHARTER ACADEMY,83858
84.9%,94.3%,0.0%,88.7%,9.4%,First Grade,90.6%,90.6%,5.7%,90.6%,N/A,1,90.6%,272 Lakeland,John Brown Elementary,John Brown Elementary RATHDRUM,2017-2018,ID,N/A,45,0,53,5,3,86.8%,-116.888897,47.814199,15574 Washington Ave,RATHDRUM,Rathdrum,JOHN BROWN ELEMENTARY SCHOOL,83858
77.1%,87.4%,0.0%,89.1%,10.3%,Seventh Grade,N/A,90.3%,12.6%,90.3%,80.0%,1,90.9%,272 Lakeland,Lakeland Jr High,Lakeland Jr High RATHDRUM,2017-2018,ID,80.6%,135,0,175,18,22,N/A,-116.886124,47.813582,15601 Id-41,RATHDRUM,Rathdrum,LAKELAND JUNIOR HIGH SCHOOL,83858
77.1%,87.4%,0.0%,89.1%,10.3%,Combined (School-level Rate),N/A,90.3%,12.6%,90.3%,80.0%,1,90.9%,272 Lakeland,Lakeland Jr High,Lakeland Jr High RATHDRUM,2017-2018,ID,80.6%,135,0,175,18,22,N/A,-116.886124,47.813582,15601 Id-41,RATHDRUM,Rathdrum,LAKELAND JUNIOR HIGH SCHOOL,83858
97.8%,97.8%,0.0%,97.8%,0.0%,First Grade,97.8%,97.8%,2.2%,97.8%,N/A,1,97.8%,272 Lakeland,Spirit Lake Elementary,Spirit Lake Elementary SPIRIT LAKE,2017-2018,ID,N/A,44,0,45,0,1,97.8%,-116.868628,47.969692,32605 N 5th Ave,SPIRIT LAKE,Spirit Lake,SPIRIT LAKE ELEMENTARY SCHOOL,83869
92.5%,92.5%,0.0%,93.8%,0.0%,Combined (School-level Rate),95.0%,97.5%,7.5%,93.8%,N/A,1,95.0%,272 Lakeland,Spirit Lake Elementary,Spirit Lake Elementary SPIRIT LAKE,2017-2018,ID,N/A,74,0,80,0,6,92.5%,-116.868628,47.969692,32605 N 5th Ave,SPIRIT LAKE,Spirit Lake,SPIRIT LAKE ELEMENTARY SCHOOL,83869
85.7%,85.7%,0.0%,88.6%,0.0%,Kindergarten,91.4%,97.1%,14.3%,88.6%,N/A,1,91.4%,272 Lakeland,Spirit Lake Elementary,Spirit Lake Elementary SPIRIT LAKE,2017-2018,ID,N/A,30,0,35,0,5,85.7%,-116.868628,47.969692,32605 N 5th Ave,SPIRIT LAKE,Spirit Lake,SPIRIT LAKE ELEMENTARY SCHOOL,83869
95.2%,95.2%,0.0%,99.3%,0.0%,Seventh Grade,N/A,97.9%,4.8%,98.6%,95.9%,1,99.3%,272 Lakeland,Timberlake Jr High,Timberlake Jr High SPIRIT LAKE,2017-2018,ID,95.9%,139,0,146,0,7,N/A,-116.866698,47.957326,5830 W Blackwell Blvd,SPIRIT LAKE,Spirit Lake,TIMBERLAKE JUNIOR HIGH SCHOOL,83869
95.2%,95.2%,0.0%,99.3%,0.0%,Combined (School-level Rate),N/A,97.9%,4.8%,98.6%,95.9%,1,99.3%,272 Lakeland,Timberlake Jr High,Timberlake Jr High SPIRIT LAKE,2017-2018,ID,95.9%,139,0,146,0,7,N/A,-116.866698,47.957326,5830 W Blackwell Blvd,SPIRIT LAKE,Spirit Lake,TIMBERLAKE JUNIOR HIGH SCHOOL,83869
80.9%,97.9%,0.0%,85.1%,17.0%,First Grade,85.1%,85.1%,2.1%,85.1%,N/A,1,85.1%,272 Lakeland,Twin Lakes Elementary,Twin Lakes Elementary RATHDRUM,2017-2018,ID,N/A,38,0,47,8,1,83.0%,-116.857953,47.860703,5326 W. Rice Rd. P.O. Box 159,RATHDRUM,Rathdrum,TWIN LAKES ELEMENTARY SCHOOL,83858
77.5%,91.3%,0.0%,85.0%,13.8%,Combined (School-level Rate),83.8%,86.3%,8.8%,87.5%,N/A,1,85.0%,272 Lakeland,Twin Lakes Elementary,Twin Lakes Elementary RATHDRUM,2017-2018,ID,N/A,62,0,80,11,7,85.0%,-116.857953,47.860703,5326 W. Rice Rd. P.O. Box 159,RATHDRUM,Rathdrum,TWIN LAKES ELEMENTARY SCHOOL,83858
72.7%,81.8%,0.0%,84.8%,9.1%,Kindergarten,81.8%,87.9%,18.2%,90.9%,N/A,1,84.8%,272 Lakeland,Twin Lakes Elementary,Twin Lakes Elementary RATHDRUM,2017-2018,ID,N/A,24,0,33,3,6,87.9%,-116.857953,47.860703,5326 W. Rice Rd. P.O. Box 159,RATHDRUM,Rathdrum,TWIN LAKES ELEMENTARY SCHOOL,83858
50.0%,100.0%,0.0%,57.1%,50.0%,First Grade,71.4%,57.1%,0.0%,57.1%,N/A,1,50.0%,Private,Christian Center,Christian Center HAYDEN,2017-2018,ID,N/A,7,0,14,7,0,50.0%,-116.835139781,47.744721522,3639 W. Prairie Ave.,HAYDEN,Hayden,CHRISTIAN CENTER SCHOOL,83835
68.8%,100.0%,0.0%,68.8%,31.3%,Kindergarten,68.8%,68.8%,0.0%,68.8%,N/A,1,68.8%,Private,Christian Center,Christian Center HAYDEN,2017-2018,ID,N/A,11,0,16,5,0,68.8%,-116.835139781,47.744721522,3639 W. Prairie Ave.,HAYDEN,Hayden,CHRISTIAN CENTER SCHOOL,83835
59.6%,95.7%,0.0%,70.2%,36.2%,Combined (School-level Rate),70.0%,68.1%,4.3%,68.1%,70.6%,1,66.0%,Private,Christian Center,Christian Center HAYDEN,2017-2018,ID,64.7%,28,0,47,17,2,60.0%,-116.835139781,47.744721522,3639 W. Prairie Ave.,HAYDEN,Hayden,CHRISTIAN CENTER SCHOOL,83835
58.8%,88.2%,0.0%,82.4%,29.4%,Seventh Grade,N/A,76.5%,11.8%,76.5%,70.6%,1,76.5%,Private,Christian Center,Christian Center HAYDEN,2017-2018,ID,64.7%,10,0,17,5,2,N/A,-116.835139781,47.744721522,3639 W. Prairie Ave.,HAYDEN,Hayden,CHRISTIAN CENTER SCHOOL,83835
78.6%,100.0%,0.0%,85.7%,21.4%,First Grade,78.6%,85.7%,0.0%,82.1%,N/A,1,82.1%,Private,Holy Family Catholic,Holy Family Catholic COEUR D'ALENE,2017-2018,ID,N/A,22,0,28,6,0,82.1%,-116.82857399,47.721541134,3005 W. Kathleen,COEUR D'ALENE,Coeur d'Alene,HOLY FAMILY CATHOLIC SCHOOL,83815
86.7%,100.0%,0.0%,100.0%,13.3%,Seventh Grade,N/A,100.0%,0.0%,100.0%,86.7%,1,100.0%,Private,Holy Family Catholic,Holy Family Catholic COEUR D'ALENE,2017-2018,ID,93.3%,13,0,15,2,0,N/A,-116.82857399,47.721541134,3005 W. Kathleen,COEUR D'ALENE,Coeur d'Alene,HOLY FAMILY CATHOLIC SCHOOL,83815
82.9%,100.0%,0.0%,90.0%,17.1%,Combined (School-level Rate),83.6%,91.4%,0.0%,87.1%,86.7%,1,88.6%,Private,Holy Family Catholic,Holy Family Catholic COEUR D'ALENE,2017-2018,ID,93.3%,58,0,70,12,0,83.6%,-116.82857399,47.721541134,3005 W. Kathleen,COEUR D'ALENE,Coeur d'Alene,HOLY FAMILY CATHOLIC SCHOOL,83815
85.2%,100.0%,0.0%,88.9%,14.8%,Kindergarten,88.9%,92.6%,0.0%,85.2%,N/A,1,88.9%,Private,Holy Family Catholic,Holy Family Catholic COEUR D'ALENE,2017-2018,ID,N/A,23,0,27,4,0,85.2%,-116.82857399,47.721541134,3005 W. Kathleen,COEUR D'ALENE,Coeur d'Alene,HOLY FAMILY CATHOLIC SCHOOL,83815
86.5%,98.6%,0.0%,90.5%,12.2%,Seventh Grade,N/A,93.2%,1.4%,93.2%,89.2%,1,93.2%,372 New Plymouth,New Plymouth Middle,New Plymouth Middle NEW PLYMOUTH,2017-2018,ID,89.2%,64,0,74,9,1,N/A,-116.828389,43.95999,4400 S.W. 2nd Ave.,NEW PLYMOUTH,New Plymouth,NEW PLYMOUTH MIDDLE SCHOOL,83655
86.5%,98.6%,0.0%,90.5%,12.2%,Combined (School-level Rate),N/A,93.2%,1.4%,93.2%,89.2%,1,93.2%,372 New Plymouth,New Plymouth Middle,New Plymouth Middle NEW PLYMOUTH,2017-2018,ID,89.2%,64,0,74,9,1,N/A,-116.828389,43.95999,4400 S.W. 2nd Ave.,NEW PLYMOUTH,New Plymouth,NEW PLYMOUTH MIDDLE SCHOOL,83655
77.8%,88.9%,0.0%,90.1%,11.1%,First Grade,87.7%,90.1%,11.1%,86.4%,N/A,1,91.4%,271 Coeur d'Alene,Atlas Elementary,Atlas Elementary COEUR D'ALENE,2017-2018,ID,N/A,63,0,81,9,9,84.0%,-116.827954219,47.751876468,3000 W. Honesuckle Ave.,COEUR D'ALENE,Coeur d'Alene,ATLAS ELEMENTARY SCHOOL,83815
71.6%,78.9%,0.0%,94.4%,7.4%,Seventh Grade,N/A,93.0%,21.1%,94.4%,73.3%,1,94.7%,271 Coeur d'Alene,Woodland Middle,Woodland Middle COEUR D'ALENE,2017-2018,ID,75.1%,204,0,285,21,60,N/A,-116.820423,47.720247,2101 Ste. Michelle,COEUR D'ALENE,Coeur d'Alene,WOODLAND MIDDLE SCHOOL,83815
71.6%,78.9%,0.0%,94.4%,7.4%,Combined (School-level Rate),N/A,93.0%,21.1%,94.4%,73.3%,1,94.7%,271 Coeur d'Alene,Woodland Middle,Woodland Middle COEUR D'ALENE,2017-2018,ID,75.1%,204,0,285,21,60,N/A,-116.820423,47.720247,2101 Ste. Michelle,COEUR D'ALENE,Coeur d'Alene,WOODLAND MIDDLE SCHOOL,83815
95.7%,100.0%,0.0%,95.7%,4.3%,First Grade,97.1%,98.6%,0.0%,97.1%,N/A,1,98.6%,372 New Plymouth,New Plymouth Elementary,New Plymouth Elementary NEW PLYMOUTH,2017-2018,ID,N/A,66,0,69,3,0,95.7%,-116.819861,43.963533,704 S. Plymouth Ave.,NEW PLYMOUTH,New Plymouth,NEW PLYMOUTH ELEMENTARY,83655
91.5%,100.0%,0.0%,92.3%,8.5%,Combined (School-level Rate),93.0%,94.4%,0.0%,92.3%,N/A,1,93.7%,372 New Plymouth,New Plymouth Elementary,New Plymouth Elementary NEW PLYMOUTH,2017-2018,ID,N/A,130,0,142,12,0,91.5%,-116.819861,43.963533,704 S. Plymouth Ave.,NEW PLYMOUTH,New Plymouth,NEW PLYMOUTH ELEMENTARY,83655
87.7%,100.0%,0.0%,89.0%,12.3%,Kindergarten,89.0%,90.4%,0.0%,87.7%,N/A,1,89.0%,372 New Plymouth,New Plymouth Elementary,New Plymouth Elementary NEW PLYMOUTH,2017-2018,ID,N/A,64,0,73,9,0,87.7%,-116.819861,43.963533,704 S. Plymouth Ave.,NEW PLYMOUTH,New Plymouth,NEW PLYMOUTH ELEMENTARY,83655
50.0%,100.0%,0.0%,50.0%,50.0%,Seventh Grade,N/A,50.0%,0.0%,50.0%,50.0%,1,50.0%,Private,Greenleaf Friends Academy,Greenleaf Friends Academy GREENLEAF,2017-2018,ID,50.0%,7,0,14,7,0,N/A,-116.8188467,43.6713449,1520 N Bunting Lane,GREENLEAF,Greenleaf,GREENLEAF FRIENDS ACADEMY,83626
57.1%,100.0%,0.0%,57.1%,42.9%,Combined (School-level Rate),64.3%,57.1%,0.0%,57.1%,50.0%,1,57.1%,Private,Greenleaf Friends Academy,Greenleaf Friends Academy GREENLEAF,2017-2018,ID,50.0%,16,0,28,12,0,64.3%,-116.8188467,43.6713449,1520 N Bunting Lane,GREENLEAF,Greenleaf,GREENLEAF FRIENDS ACADEMY,83626
77.0%,83.0%,0.0%,86.0%,6.0%,First Grade,84.0%,89.0%,17.0%,84.0%,N/A,1,86.0%,271 Coeur d'Alene,Skyway Elementary,Skyway Elementary COEUR D'ALENE,2017-2018,ID,N/A,77,0,100,6,17,81.0%,-116.817305,47.732039,6621 N Courcelles Parkway,COEUR D'ALENE,Coeur d'Alene,SKYWAY ELEMENTARY SCHOOL - CDA,83815
58.0%,61.5%,0.0%,70.7%,3.4%,Combined (School-level Rate),75.9%,82.8%,38.5%,70.1%,N/A,1,71.3%,271 Coeur d'Alene,Skyway Elementary,Skyway Elementary COEUR D'ALENE,2017-2018,ID,N/A,101,0,174,6,67,66.1%,-116.817305,47.732039,6621 N Courcelles Parkway,COEUR D'ALENE,Coeur d'Alene,SKYWAY ELEMENTARY SCHOOL - CDA,83815
32.4%,32.4%,0.0%,50.0%,0.0%,Kindergarten,64.9%,74.3%,67.6%,51.4%,N/A,1,51.4%,271 Coeur d'Alene,Skyway Elementary,Skyway Elementary COEUR D'ALENE,2017-2018,ID,N/A,24,0,74,0,50,45.9%,-116.817305,47.732039,6621 N Courcelles Parkway,COEUR D'ALENE,Coeur d'Alene,SKYWAY ELEMENTARY SCHOOL - CDA,83815
84.5%,96.6%,0.0%,84.5%,12.1%,First Grade,86.2%,86.2%,3.4%,84.5%,N/A,1,84.5%,363 Marsing,Marsing Elementary,Marsing Elementary MARSING,2017-2018,ID,N/A,49,0,58,7,2,84.5%,-116.812254,43.542875,207 8th Ave W Hwy 78; PO Box 340,MARSING,Marsing,MARSING ELEMENTARY SCHOOL,83639
79.5%,92.9%,0.0%,80.3%,13.4%,Combined (School-level Rate),84.3%,85.8%,7.1%,81.1%,N/A,1,81.9%,363 Marsing,Marsing Elementary,Marsing Elementary MARSING,2017-2018,ID,N/A,101,0,127,17,9,81.9%,-116.812254,43.542875,207 8th Ave W Hwy 78; PO Box 340,MARSING,Marsing,MARSING ELEMENTARY SCHOOL,83639
