COUNTY_DESC,BEDS Code,POPULAR_NAME,GRADE_ORG_DESC,INST_SUB_TYPE_DESC,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,UGE,UGS,KFULL,KHALF,PK,Enrollment
WESTCHESTER,662101997144,IVES SCHOOL,Junior Senior School,INDEPENDENT,0,0,0,0,0,1,4,14,33,16,2,1,0,0,0,0,0,71
WESTCHESTER,662200145155,ACAD OF OUR LADY OF GOOD COUNSEL ES,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,17,12,12,18,12,9,13,16,0,0,0,0,0,0,15,0,23,147
WESTCHESTER,662200145156,ACAD OF OUR LADY OF GOOD COUNSEL HS,Senior High,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,118,98,74,97,0,0,0,0,0,387
WESTCHESTER,662200145164,OUR LADY OF SORROWS SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,21,26,22,26,26,24,26,3,0,0,0,0,0,0,21,0,0,195
WESTCHESTER,662200145185,ARCHBISHOP STEPINAC HIGH SCHOOL,Senior High,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,190,172,141,153,0,0,0,0,0,656
WESTCHESTER,662200217210,SOLOMON SCHECHTER SCH-WESTCHTR,Elementary,JEWISH,62,74,64,64,57,0,0,0,0,0,0,0,0,0,58,0,0,379
WESTCHESTER,662200858400,RIDGEWAY NRSY SCHOOL & KNDG,Elementary,BAPTIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,138,151
WESTCHESTER,662200996541,WINDWARD SCHOOL,Elementary,INDEPENDENT,10,41,71,87,90,96,91,64,7,0,0,0,0,0,0,0,0,557
WESTCHESTER,662200998528,GERMAN SCHOOL NY,K-12 School,INDEPENDENT,35,36,31,20,28,28,16,27,19,28,18,14,0,0,22,0,0,322
WESTCHESTER,662200999517,KODOMONO KUNI,Elementary,INDEPENDENT,10,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,39,75
