Year,County,SiteName,Enrollment,PBE,PME
2016-2017,Douglas,Reedsport Community Charter School,342,11,0
2016-2017,Douglas,Riddle Elementary School,203,7,0
2016-2017,Douglas,Riddle Jr/Sr High School,162,3,1
2016-2017,Douglas,Roseburg High School,"1,492",42,2
2016-2017,Douglas,Roseburg Junior Academy,35,0,0
2016-2017,Douglas,South Umpqua High School,389,9,0
2016-2017,Douglas,St. Paul's Lutheran School,53,4,0
2016-2017,Douglas,Sunnyslope Elementary,267,7,0
2016-2017,Douglas,Sutherlin Adventist Christian School,7,,
2016-2017,Douglas,Sutherlin High School,366,9,0
2016-2017,Douglas,Sutherlin Middle School,185,8,1
2016-2017,Douglas,Sutherlin Valley Online Academy,43,1,0
2016-2017,Douglas,Tri-City Elementary School,257,4,0
2016-2017,Douglas,Umpqua Valley Christian School,143,11,0
2016-2017,Douglas,West Intermediate School,308,4,2
2016-2017,Douglas,Winchester Elementary School,342,14,0
2016-2017,Douglas,Winston Middle School,220,7,0
2016-2017,Douglas,Yoncalla Elementary School,114,8,0
2016-2017,Douglas,Yoncalla High School/Middle School,122,6,0
2016-2017,Gilliam/Sherman/Wasco,Arlington Elementary,96,0,0
2016-2017,Gilliam/Sherman/Wasco,Arlington High School,55,0,0
2016-2017,Gilliam/Sherman/Wasco,Chenowith Elementary School,451,7,1
2016-2017,Gilliam/Sherman/Wasco,Colonel Wright Elementary School,329,12,0
2016-2017,Gilliam/Sherman/Wasco,Columbia Lutheran School,10,1,0
2016-2017,Gilliam/Sherman/Wasco,Condon Grade School,89,6,0
2016-2017,Gilliam/Sherman/Wasco,Condon High School,36,0,0
2016-2017,Gilliam/Sherman/Wasco,Crossroads (MAST),5,,
2016-2017,Gilliam/Sherman/Wasco,Dry Hollow Elementary School,535,21,0
2016-2017,Gilliam/Sherman/Wasco,Dufur School Dist #29,307,4,0
2016-2017,Gilliam/Sherman/Wasco,Maupin Gradeschool/Little Learners Preschool,135,3,1
2016-2017,Gilliam/Sherman/Wasco,Mosier Community School,216,23,0
2016-2017,Gilliam/Sherman/Wasco,North Wasco Virtual Academy,52,1,0
2016-2017,Gilliam/Sherman/Wasco,Sherman County School,257,9,1
2016-2017,Gilliam/Sherman/Wasco,Sonrise Academy,40,2,0
2016-2017,Gilliam/Sherman/Wasco,South Wasco County Jr/High School,118,3,0
2016-2017,Gilliam/Sherman/Wasco,St. Mary's Academy,145,1,0
2016-2017,Gilliam/Sherman/Wasco,The Dalles High School,826,24,3
2016-2017,Gilliam/Sherman/Wasco,The Dalles Middle School,562,19,1
2016-2017,Gilliam/Sherman/Wasco,Wahtonka Community School,50,0,0
2016-2017,Grant,Dayville School District #16J,47,5,0
2016-2017,Grant,Grant Union Jr/Sr High School,259,19,1
2016-2017,Grant,Humbolt Elementary School,300,26,0
2016-2017,Grant,Long Creek School District #17,19,4,0
2016-2017,Grant,Monument School District #8,58,4,0
2016-2017,Grant,Prairie City School,146,7,0
2016-2017,Grant,Seneca School,31,3,1
2016-2017,Harney,Burns High School,260,5,0
2016-2017,Harney,Crane Elementary School,75,0,0
2016-2017,Harney,Crane Union High School,66,1,0
2016-2017,Harney,Diamond School,4,,
2016-2017,Harney,"Double ""O"" Elementary",3,,
2016-2017,Harney,Drewsey Elementary,9,,
2016-2017,Harney,Fields Elementary,12,0,0
2016-2017,Harney,Frenchglen Elementary,10,0,0
2016-2017,Harney,Henry L. Slater Elementary School,417,12,0
2016-2017,Harney,High Desert Christian School,14,0,0
2016-2017,Harney,Hines Middle School,186,2,0
2016-2017,Harney,Monroe School,23,0,0
2016-2017,Harney,Pine Creek Elementary  School,5,,
2016-2017,Harney,Silvies River Charter School,235,72,0
2016-2017,Harney,Suntex Elementary  School,11,0,0
2016-2017,Hood River,Bright Beginnings,17,3,0
2016-2017,Hood River,Cascade Locks School,63,0,0
2016-2017,Hood River,Hood River Middle,534,28,0
2016-2017,Hood River,Hood River Valley High School,"1,367",35,1
2016-2017,Hood River,"Horizon Christian School, Inc",152,11,0
2016-2017,Hood River,"Klahre House/The Next Door, Inc.",10,0,0
2016-2017,Hood River,May Street Elementary,486,31,0
2016-2017,Hood River,Mid-Columbia Adventist School,60,3,0
2016-2017,Hood River,Mid-Valley Elementary,487,7,0
2016-2017,Hood River,New Vision School,25,9,0
2016-2017,Hood River,Parkdale Elementary,201,9,0
2016-2017,Hood River,Westside Elementary,501,27,1
2016-2017,Hood River,Wy'East Middle School,390,10,0
2016-2017,Jackson,ABRAHAM LINCOLN,529,23,6
2016-2017,Jackson,ARMADILLO TECHNICAL INSTITUTE,84,14,0
2016-2017,Jackson,ASHLAND HIGH SCHOOL,"1,047",263,3
2016-2017,Jackson,ASHLAND MIDDLE SCHOOL,572,135,0
2016-2017,Jackson,BELLVIEW ELEMENTARY,314,47,0
2016-2017,Jackson,BUTTE FALLS CHARTER ELEMENTARY,90,6,0
2016-2017,Jackson,Butte Falls Charter High School,90,5,1
2016-2017,Jackson,CASCADE CHRISTIAN HIGH SCHOOL,259,7,0
2016-2017,Jackson,CENTRAL MEDFORD HIGH SCHOOL,236,5,1
2016-2017,Jackson,CENTRAL POINT ELEMENTARY,547,7,1
2016-2017,Jackson,CRATER ACADEMY OF HEALTH AND PUBLIC SEVICES,442,2,0
2016-2017,Jackson,CRATER LAKE CHARTER ACADEMY,258,29,4
2016-2017,Jackson,"CRATER SCHOOL OF BUSINESS, INNOVATION & SCIENCE",423,8,0
2016-2017,Jackson,CRATER'S RENAISSANCE ACADEMY,439,2,0
2016-2017,Jackson,EAGLE POINT HIGH SCHOOL,"1,024",18,1
2016-2017,Jackson,EAGLE POINT MIDDLE SCHOOL,409,10,0
2016-2017,Jackson,EAGLE ROCK ELEMENTARY,343,12,3
2016-2017,Jackson,Exceptional Students Program,15,0,0
2016-2017,Jackson,FAMILY SOLUTIONS DAY TREATMENT,7,,
2016-2017,Jackson,GRACE CHRISTIAN,414,32,0
2016-2017,Jackson,GRIFFIN CREEK ELEMENTARY,590,25,2
2016-2017,Jackson,Hanby middle school,220,13,1
2016-2017,Jackson,HARVEST CHRISTIAN SCHOOL,78,8,0
2016-2017,Jackson,HEDRICK MIDDLE SCHOOL,916,32,4
2016-2017,Jackson,HELMAN ELEMENTARY,312,66,1
2016-2017,Jackson,HILLSIDE ELEMENTARY,500,28,5
2016-2017,Jackson,HOOVER ELEMENTARY,701,38,2
2016-2017,Jackson,HOWARD ELEMENTARY,454,21,0
2016-2017,Jackson,JACKSON ELEMENTARY,418,8,0
2016-2017,Jackson,JACKSONVILLE ELEMENTARY,436,40,0
2016-2017,Jackson,JEFFERSON ELEMENTARY,478,9,0
2016-2017,Jackson,JEWETT ELEMENTARY,593,20,0
2016-2017,Jackson,John Muir Elementary,123,62,1
2016-2017,Jackson,KENNEDY ELEMENTARY,568,27,2
2016-2017,Jackson,KIDS UNLIMITED ACADEMY PUBLIC CHARTER SCHOOL,340,9,0
2016-2017,Jackson,KIDZ KORNER DAYCARE,7,,
2016-2017,Jackson,LAKE CREEK LEARNING CENTER,56,8,0
2016-2017,Jackson,LITTLE RED BARN MONTESSORI,8,,
2016-2017,Jackson,LONE PINE ELEMENTARY,628,40,4
2016-2017,Jackson,MADRONE TRAIL PUBLIC CHARTER SCHOOL,233,104,2
2016-2017,Jackson,MAE RICHARDSON ELEMENTARY,567,20,1
2016-2017,Jackson,MCLOUGHLIN MIDDLE,818,22,0
2016-2017,Jackson,Medford Montessori,104,7,0
2016-2017,Jackson,MEDFORD OPPORTUNITY HIGH SCHOOL,32,1,0
2016-2017,Jackson,NEW DIMENSION CHRISTIAN SCHOOL,45,6,0
2016-2017,Jackson,New Heights Christian School,51,5,0
2016-2017,Jackson,NORTH MEDFORD HIGH SCHOOL,"1,619",31,6
2016-2017,Jackson,OAK GROVE ELEMENTARY,480,10,1
2016-2017,Jackson,Orchard Hill Elementary,424,14,0
2016-2017,Jackson,PATRICK ELEMENTARY,281,22,2
2016-2017,Jackson,PHOENIX ELEMENTARY,376,8,0
2016-2017,Jackson,PHOENIX HIGH SCHOOL,684,24,0
2016-2017,Jackson,PINEHURST SCHOOL,9,,
2016-2017,Jackson,PROSPECT CHARTER SCHOOL,233,11,0
2016-2017,Jackson,RIVER'S EDGE ACADEMY CHARTER SCHOOL,188,67,1
2016-2017,Jackson,ROGUE RIVER ELEMENTARY,437,36,0
2016-2017,Jackson,ROGUE RIVER JUNIOR SENIOR HIGH,351,30,2
2016-2017,Jackson,ROGUE VALLEY ADVENTIST SCHOOL,126,10,0
2016-2017,Jackson,ROOSEVELT ELEMENTARY,390,19,1
2016-2017,Jackson,RUCH ELEMENTARY,199,39,0
2016-2017,Jackson,SACRED HEART CATHOLIC SCHOOL,168,3,1
2016-2017,Jackson,SAMS VALLEY ELEMENTARY,293,5,0
2016-2017,Jackson,SCENIC MIDDLE SCHOOL,789,8,0
2016-2017,Jackson,SHADY COVE SCHOOL,286,19,3
2016-2017,Jackson,SHADY POINT SDA SCHOOL,10,2,0
2016-2017,Jackson,SISKIYOU SCHOOL,191,137,0
2016-2017,Jackson,SO OR EDUCATIONAL SERVICE DISTRICT,68,2,1
2016-2017,Jackson,SOUTH MEDFORD HIGH SCHOOL,"1,657",65,4
2016-2017,Jackson,ST JOHN LUTHERAN SCHOOL,24,0,0
2016-2017,Jackson,ST MARY'S SCHOOL,427,26,0
2016-2017,Jackson,TABLEROCK ELEMENTARY,739,13,2
2016-2017,Jackson,TALENT ELEMENTARY,481,54,0
2016-2017,Jackson,TALENT MIDDLE SCHOOL,545,19,0
2016-2017,Jackson,THE SECRET GARDEN,2,,
2016-2017,Jackson,Upper Rogue Center for Ed. Opp (URCEO),65,2,0
2016-2017,Jackson,Valley School of Southern Oregon,99,7,1
2016-2017,Jackson,WALKER ELEMENTARY,338,86,1
2016-2017,Jackson,WASHINGTON ELEMENTARY,438,12,0
2016-2017,Jackson,WHITE MOUNTAIN MIDDLE SCHOOL,370,4,2
2016-2017,Jackson,Willow Wind community Learning Center,197,114,0
2016-2017,Jackson,WILSON ELEMENTARY,551,25,2
2016-2017,Jefferson,Ashwood Elementary,3,,
2016-2017,Jefferson,Big Muddy School,21,5,0
2016-2017,Jefferson,Black Butte School,27,2,0
2016-2017,Jefferson,Bridges Career & Technical High School,145,2,0
2016-2017,Jefferson,Buff Elementary,332,5,0
2016-2017,Jefferson,Culver Elementary School,304,13,0
2016-2017,Jefferson,Culver High School,194,5,0
2016-2017,Jefferson,Culver Middle School,164,5,0
2016-2017,Jefferson,Jefferson County Middle School,405,10,0
2016-2017,Jefferson,Madras Elementary,423,6,0
2016-2017,Jefferson,Madras High School,640,13,1
2016-2017,Jefferson,Metolius Elementary School,312,8,0
2016-2017,Jefferson,Warm Springs Academy,663,1,0
2016-2017,Josephine,Allen Dale Elementary School,469,28,0
2016-2017,Josephine,APPLEGATE ELEMENTARY,100,26,0
2016-2017,Josephine,Brighton Academy,115,45,0
2016-2017,Josephine,Community Christian Academy,32,5,0
2016-2017,Josephine,Dome School,40,33,0
2016-2017,Josephine,Evergreen Elementary,357,53,0
2016-2017,Josephine,FLEMING MIDDLE SCHOOL,378,35,2
2016-2017,Josephine,Fort Vannoy,276,21,1
2016-2017,Josephine,FRUITDALE ELEMENTARY,367,23,0
2016-2017,Josephine,Grants Pass Adventist School,75,14,0
2016-2017,Josephine,Grants Pass High School,"1,709",82,6
2016-2017,Josephine,Hidden Valley High,543,52,0
2016-2017,Josephine,Highland Elementary School,455,38,0
2016-2017,Josephine,Illinois Valley High,325,33,2
2016-2017,Josephine,Lincoln Elementary,468,27,0
2016-2017,Josephine,Lincoln Savage Middle,350,23,0
2016-2017,Josephine,Lorna Byrne Middle,290,46,0
2016-2017,Josephine,Madrona Elementary,367,35,0
2016-2017,Josephine,Madrone Adventist Elementary School,19,5,0
2016-2017,Josephine,Manzanita Elementary,397,23,0
2016-2017,Josephine,"Miss Heather's Preschool, Daycare & After School C",3,,
2016-2017,Josephine,New Hope Christian School,199,33,0
2016-2017,Josephine,Newbridge High School,77,0,0
2016-2017,Josephine,NORTH MIDDLE SCHOOL,796,49,0
2016-2017,Josephine,North Valley High,501,38,0
2016-2017,Josephine,Parkside Elementary,456,23,1
2016-2017,Josephine,Redwood Elementary,482,46,1
2016-2017,Josephine,Riverside Elementary,454,28,1
2016-2017,Josephine,South Middle School,669,35,0
2016-2017,Josephine,ST. ANNES CATHOLIC SCHOOL,64,6,0
2016-2017,Josephine,Sunny Wolf Charter School,89,19,0
2016-2017,Josephine,Vineyard Christian School,59,11,0
2016-2017,Josephine,WILLIAMS ELEMENTARY,56,11,0
2016-2017,Josephine,Woodland Charter School,158,104,0
2016-2017,Klamath,Bonanza Elementary School,253,21,0
2016-2017,Klamath,Bonanza Jr/Sr High School,203,13,0
2016-2017,Klamath,Brixner Junior High School,391,4,0
2016-2017,Klamath,Chiloquin Elementary School,163,8,0
2016-2017,Klamath,Chiloquin Junior Senior High School,139,6,0
2016-2017,Klamath,Conger Elementary School,409,8,3
2016-2017,Klamath,Eagle Ridge High School,192,4,0
2016-2017,Klamath,Falcon Heights Academy,108,3,0
2016-2017,Klamath,Ferguson Elementary School,486,4,0
2016-2017,Klamath,Gearhart Elementary School,6,,
2016-2017,Klamath,Gilchrist Elementary School,110,0,0
2016-2017,Klamath,Gilchrist Junior Senior High School,85,4,0
2016-2017,Klamath,Great Basin Home School Center,159,37,0
2016-2017,Klamath,Henley Elementary School,526,13,0
2016-2017,Klamath,Henley High School,664,7,0
2016-2017,Klamath,Henley Middle School,326,15,0
2016-2017,Klamath,Henley Transition House,31,0,0
2016-2017,Klamath,Hosanna Christian School,210,8,1
2016-2017,Klamath,Keno Elementary School,184,4,1
2016-2017,Klamath,Klamath Adult Learning Center,94,2,0
2016-2017,Klamath,Klamath Basin Behavioral Health,28,0,0
2016-2017,Klamath,KLamath Falls Adventist Christian School,17,4,0
2016-2017,Klamath,Klamath Union/Almeda House,600,8,0
2016-2017,Klamath,Lost River Junior Senior High School,200,1,0
2016-2017,Klamath,Malin Elementary School,135,1,0
2016-2017,Klamath,Mazama High School,669,7,1
2016-2017,Klamath,Merrill Elementary School,135,0,0
2016-2017,Klamath,Mills Elementary School,412,1,0
2016-2017,Klamath,Our Place to Grow,7,,
2016-2017,Klamath,Pelican Elementary School,257,3,1
2016-2017,Klamath,Peterson Elementary School,596,10,0
2016-2017,Klamath,PONDEROSA MIDDLE SCHOOL,630,2,2
2016-2017,Klamath,Roosevelt Elementary School,353,10,0
2016-2017,Klamath,Sage Charter School,66,9,0
2016-2017,Klamath,Shasta Elementary School,564,18,0
2016-2017,Klamath,Stearns Elementary School,324,5,0
2016-2017,Klamath,Triad School,222,10,0
2016-2017,Lake,A D Hay School and Fremont School,347,9,0
2016-2017,Lake,Adel School,9,,
2016-2017,Lake,COIC Alternative Education,21,0,0
2016-2017,Lake,Daly Middle School,105,3,0
2016-2017,Lake,Lakeview High School,237,4,2
2016-2017,Lake,North Lake School,222,13,0
2016-2017,Lake,PAISLEY ON LINE SCHOOL,143,53,0
2016-2017,Lake,Paisley School District,78,9,0
2016-2017,Lake,Plush Elementary,2,,
2016-2017,Lake,Solid Rock Christian School,40,0,0
2016-2017,Lake,Union Elementary,47,3,0
2016-2017,Lane,Academy of Arts & Academics,322,35,1
2016-2017,Lane,ACE Charter School,92,18,0
2016-2017,Lane,Adams Elementary School,443,51,0
2016-2017,Lane,Agnes Stewart Middle School,568,5,0
2016-2017,Lane,Al Kennedy Alternative High School,73,1,0
2016-2017,Lane,Applegate Elementary,125,7,0
2016-2017,Lane,Arts and Technology Academy,338,36,0
2016-2017,Lane,Awbrey Park Elementary School,436,8,0
2016-2017,Lane,Big Little School,6,,
2016-2017,Lane,Bohemia Elementary School,488,23,0
2016-2017,Lane,Bridge Charter Academy,141,63,0
2016-2017,Lane,Bridgeway School,66,13,1
2016-2017,Lane,Briggs Middle School,486,14,1
2016-2017,Lane,Buena Vista Elementary School,423,16,0
2016-2017,Lane,Cal Young Middle School,500,12,2
2016-2017,Lane,Camas Ridge Community Elementary,397,46,0
2016-2017,Lane,Cascade Middle School,323,3,0
2016-2017,Lane,Centennial Elementary School,415,7,0
2016-2017,Lane,Charlemagne French Immersion Elementary School,324,26,0
2016-2017,Lane,Chavez Elementary,413,34,0
2016-2017,Lane,"Child Center, The",18,0,0
2016-2017,Lane,Child's Way Charter,42,5,0
2016-2017,Lane,Churchill High School,"1,079",69,2
2016-2017,Lane,Clear Lake Elementary,258,2,0
2016-2017,Lane,Coburg Community Charter School,220,6,0
2016-2017,Lane,Community Transitions Program,31,1,0
2016-2017,Lane,Corridor Elementary School,244,17,0
2016-2017,Lane,Cottage Grove High School,752,26,0
2016-2017,Lane,Countryside Christian School,11,1,0
2016-2017,Lane,Creslane Elementary School,591,25,1
2016-2017,Lane,Creswell Christian School,51,8,0
2016-2017,Lane,Creswell High School,368,14,0
2016-2017,Lane,Creswell Middle School,289,3,0
2016-2017,Lane,Crow Middle/High School,129,6,0
2016-2017,Lane,Danebo Elementary,288,7,0
2016-2017,Lane,Dorena Elementary School,73,2,0
2016-2017,Lane,Douglas Garden Elementary,351,6,0
2016-2017,Lane,Drinking Gourd Elementary School,10,3,0
2016-2017,Lane,Edgewood Community School,407,37,1
2016-2017,Lane,Edison Elementary School,369,37,0
2016-2017,Lane,Elizabeth Page Elementary,392,9,0
2016-2017,Lane,Elmira Elementary School,263,7,0
2016-2017,Lane,Elmira High School,399,13,0
2016-2017,Lane,Emerald Christian Academy,48,4,0
2016-2017,Lane,Eugene Christian School,163,15,0
2016-2017,Lane,Eugene Education Options,152,7,0
2016-2017,Lane,Eugene Montessori School,8,,
2016-2017,Lane,Eugene Sudbury School,19,5,0
2016-2017,Lane,Eugene Waldorf School,160,112,0
2016-2017,Lane,Fairfield Elementary,344,4,1
2016-2017,Lane,Family School,129,47,0
2016-2017,Lane,Far Horizons Montessori,26,10,0
2016-2017,Lane,Fern Ridge Middle School,316,9,0
2016-2017,Lane,GATES Program,4,,
2016-2017,Lane,Gateways High School,72,0,0
2016-2017,Lane,Gilham Elementary School,537,21,0
2016-2017,Lane,Grace Community Preschool,8,,
2016-2017,Lane,Guy Lee Elementary,345,2,0
2016-2017,Lane,Hamlin Middle School,617,18,0
2016-2017,Lane,Harrison Elementary School,388,26,0
2016-2017,Lane,Holt Elementary School,577,22,0
2016-2017,Lane,Homebound Program,13,1,0
2016-2017,Lane,Howard Elementary School,443,16,1
2016-2017,Lane,Intensive Tutoring Program,4,,
2016-2017,Lane,Irving Elementary,376,9,0
2016-2017,Lane,Jasper Mountain School,35,0,0
2016-2017,Lane,Jasper Mountain School- Safe Center,27,0,0
2016-2017,Lane,Junction City High School,553,12,1
2016-2017,Lane,Kalapuya High School,87,1,1
2016-2017,Lane,Kelly Middle School,387,19,0
2016-2017,Lane,Kennedy Middle School,383,21,0
2016-2017,Lane,Kids Akademy Christian Preschool,1,,
2016-2017,Lane,Lane School,48,0,0
2016-2017,Lane,Latham Elementary School,111,6,0
2016-2017,Lane,Laurel Elementary School,510,9,0
2016-2017,Lane,Laurelwood Academy,5,,
2016-2017,Lane,Life! Lutheran School,28,5,0
2016-2017,Lane,Lincoln Middle School,532,28,0
2016-2017,Lane,Little French School,3,,
2016-2017,Lane,Logos Christian Academy,36,6,0
2016-2017,Lane,London Elementary School,86,7,0
2016-2017,Lane,Looking Glass Center Point School,13,0,0
2016-2017,Lane,Looking Glass New Roads School,32,0,0
2016-2017,Lane,Looking Glass Riverfront School,70,2,0
2016-2017,Lane,Looking Glass Stepping Stone Program,17,0,0
2016-2017,Lane,Lowell Junior/Senior High School,170,11,0
2016-2017,Lane,Lundy  Elementary School,132,12,0
2016-2017,Lane,Madison Middle School,413,15,0
2016-2017,Lane,Malabon Elementary,431,6,0
2016-2017,Lane,Maple Elementary,360,11,0
2016-2017,Lane,MAPLETON ELEMENTARY SCHOOL,72,7,0
2016-2017,Lane,Mapleton High School,75,2,0
2016-2017,Lane,Marcola School District,251,7,0
2016-2017,Lane,Marist Catholic High School,524,16,0
2016-2017,Lane,Martin Luther King Education Center,17,0,0
2016-2017,Lane,McCornack Elementary School,339,15,0
2016-2017,Lane,McKenzie Montessori Institute,5,,
2016-2017,Lane,McKenzie School District #68,191,23,0
2016-2017,Lane,Meadow View School,744,19,2
2016-2017,Lane,Monroe Middle School,525,12,1
2016-2017,Lane,Mountain View Academy,130,14,0
2016-2017,Lane,Mt Vernon Elementary,523,6,0
2016-2017,Lane,Nature Discovery School,47,4,0
2016-2017,Lane,Network Charter School,114,15,0
2016-2017,Lane,North Eugene High School,819,17,0
2016-2017,Lane,Oak Hill School,211,14,0
2016-2017,Lane,Oaklea Middle School,500,16,0
2016-2017,Lane,Oakridge  High School,146,2,0
2016-2017,Lane,Oakridge Elementary School,308,24,0
2016-2017,Lane,Oakridge Junior High,79,6,0
2016-2017,Lane,Ocean Dunes High School,6,,
2016-2017,Lane,O'Hara Catholic School,460,12,0
2016-2017,Lane,Pleasant Hill Christian School,4,,
2016-2017,Lane,Pleasant Hill Elementary School,422,23,0
2016-2017,Lane,Pleasant Hill High School,561,16,1
2016-2017,Lane,Prairie Mountain School,727,8,0
2016-2017,Lane,Ridgeline Montessori,245,64,0
2016-2017,Lane,Ridgeview Elementary,428,11,0
2016-2017,Lane,River Road/El Camino del Rio Elementary School,314,19,1
2016-2017,Lane,Riverbend Elementary,507,11,0
2016-2017,Lane,Roosevelt Middle School,587,51,1
2016-2017,Lane,Saraha Children's School,25,6,0
2016-2017,Lane,Shasta Middle School,421,5,0
2016-2017,Lane,Sheldon High School,"1,421",28,0
2016-2017,Lane,Siuslaw Elementary School,635,48,0
2016-2017,Lane,Siuslaw High School,425,13,0
2016-2017,Lane,Siuslaw Middle School,310,18,0
2016-2017,Lane,South Eugene High School,"1,421",163,2
2016-2017,Lane,Spencer Butte Middle School,439,51,2
2016-2017,Lane,Spring Creek Elementary School,303,14,1
2016-2017,Lane,Springfield Christian Kindergarten and Preschool,9,,
2016-2017,Lane,Springfield High School,"1,248",12,0
2016-2017,Lane,SPS Night School,30,0,0
2016-2017,Lane,SPS On-Line Elementary,9,,
2016-2017,Lane,SPS On-Line High,25,0,0
2016-2017,Lane,SPS On-Line Middle,18,2,0
2016-2017,Lane,St Paul Parish School,247,6,0
2016-2017,Lane,St Thomas Becket Academy,54,29,0
2016-2017,Lane,Territorial Elementary,133,3,0
2016-2017,Lane,Thurston Elementary,474,12,0
2016-2017,Lane,Thurston High School,"1,264",10,1
2016-2017,Lane,Thurston Middle School,532,13,0
2016-2017,Lane,Triangle Lake Charter Elementary School,118,26,1
2016-2017,Lane,Triangle Lake Charter Middle School,60,11,0
2016-2017,Lane,Triangle Lane Charter HS,65,11,0
2016-2017,Lane,Twin Oaks Elementary School,233,9,0
2016-2017,Lane,Twin Rivers Charter School,37,0,0
2016-2017,Lane,Two Rivers Dos Rios Elementary,486,15,1
2016-2017,Lane,Unity School,0,,
2016-2017,Lane,Veneta Elementary School,341,12,1
2016-2017,Lane,Village School,211,135,0
2016-2017,Lane,Walterville Elementary,184,10,0
2016-2017,Lane,Wellsprings Friends School,56,4,0
2016-2017,Lane,West Lane Technical Learning Center,94,1,0
2016-2017,Lane,Willagillespie Elementary School,507,20,0
2016-2017,Lane,Willamette Christian School,155,7,0
2016-2017,Lane,Willamette High School,"1,334",15,1
2016-2017,Lane,Willamette Leadership Academy-High School,164,0,1
2016-2017,Lane,Willamette Leadership Academy-Middle,124,1,0
2016-2017,Lane,Yolanda Elementary,399,6,0
2016-2017,Lane,Yujin Gakuen Elementary,305,19,0
2016-2017,Lincoln,Crestview Heights,331,17,0
2016-2017,Lincoln,Eddyville Elementary School,105,5,0
2016-2017,Lincoln,Eddyville Secondary Charter School,95,4,0
2016-2017,Lincoln,Faith Baptist Preschool & Kindergarten,12,1,0
2016-2017,Lincoln,LC Career Tech High School,50,1,0
2016-2017,Lincoln,Newport High,625,10,2
2016-2017,Lincoln,Newport Middle,419,13,0
2016-2017,Lincoln,Oceanlake Elementary,405,19,0
2016-2017,Lincoln,Sam Case Elementary,449,11,0
2016-2017,Lincoln,"Seventh Day Adventist School, Lincoln City",63,5,0
2016-2017,Lincoln,Siletz Valley  Chart School,134,1,0
2016-2017,Lincoln,Siletz Valley Early College Academy,80,1,0
2016-2017,Lincoln,Taft Elementary,536,16,1
2016-2017,Lincoln,Taft High,416,10,1
2016-2017,Lincoln,Taft Middle School,248,16,1
2016-2017,Lincoln,Toledo Elementary,444,10,0
2016-2017,Lincoln,Toledo High School,183,4,0
2016-2017,Lincoln,Toledo Junior High,119,2,0
2016-2017,Lincoln,Waldport High School,172,8,0
2016-2017,Lincoln,WALDPORT MIDDLE SCHOOL,94,5,0
2016-2017,Lincoln,YAQUINA VIEW ELEMENTARY,461,9,0
2016-2017,Linn,14LEBANON HIGH SCHOOL,"1,255",31,0
2016-2017,Linn,ALBANY CHRISTIAN SCHOOL,173,12,0
2016-2017,Linn,ALBANY ONLINE,67,1,0
2016-2017,Linn,ALBANY OPTIONS SCHOOL,156,1,1
2016-2017,Linn,BROWNSVILLE MENNONITE SCHOOL,38,14,0
2016-2017,Linn,CALAPOOIA MIDDLE SCHOOL,535,5,1
2016-2017,Linn,CASCADES SCHOOL,340,10,0
2016-2017,Linn,CENTENNIAL ELEMENTARY,288,12,0
2016-2017,Linn,CENTRAL ELEMENTARY,146,2,1
2016-2017,Linn,CENTRAL LINN ELEMENTARY SCHOOL,324,22,1
2016-2017,Linn,CENTRAL LINN MIDDLE/HIGH SCHOOL,300,19,0
2016-2017,Linn,CENTRAL VALLEY CHRISTIAN SCHOOL,38,7,0
2016-2017,Linn,CLOVER RIDGE ELEMENTARY,332,3,1
2016-2017,Linn,EAST LINN CHRISTIAN ACADEMY,319,20,0
2016-2017,Linn,EVERGREEN MENNONITE SCHOOL,29,0,0
2016-2017,Linn,FOSTER ELEMENTARY,320,10,2
2016-2017,Linn,GREEN ACRES SCHOOL,298,12,1
2016-2017,Linn,HAMILTON CREEK SCHOOL,268,10,0
2016-2017,Linn,HARRISBURG  HIGH school,302,13,1
2016-2017,Linn,HARRISBURG ELEMENTARY,403,14,1
2016-2017,Linn,HARRISBURG MIDDLE,197,6,0
2016-2017,Linn,HAWTHORNE ELEMENTARY,307,11,2
2016-2017,Linn,HOLLEY ELEMENTARY,154,14,1
2016-2017,Linn,LACOMB SCHOOL,232,20,0
2016-2017,Linn,LAFAYETTE ELEMENTARY,310,6,0
2016-2017,Linn,LAKE CREEK MENNONITE SCHOOL,8,,
2016-2017,Linn,LEBANON I-SCHOOL,33,0,0
2016-2017,Linn,LIBERTY ELEMENTARY,345,5,0
2016-2017,Linn,LIFEGATE CHRISTIAN SCHOOL,19,2,1
2016-2017,Linn,Lighthouse Mennonite School,71,27,0
2016-2017,Linn,LOURDES,41,2,0
2016-2017,Linn,MARI-LINN,215,13,0
2016-2017,Linn,MEMORIAL MIDDLE SCHOOL,566,8,0
2016-2017,Linn,OAK ELEMENTARY,335,6,2
2016-2017,Linn,OAK HEIGHTS ELEMENTARY,280,9,1
2016-2017,Linn,Oregon Connections Academy,"3,512",353,6
2016-2017,Linn,OREGON YOUTH AUTHORITY RIVERSIDE H.S.,8,,
2016-2017,Linn,Oregon Youth Authority Three Lakes High,32,0,0
2016-2017,Linn,PERIWINKLE ELEMENTARY,437,3,0
2016-2017,Linn,PIONEER SCHOOL,339,13,0
2016-2017,Linn,RIVERVIEW SCHOOL,387,17,0
2016-2017,Linn,SAND RIDGE CHARTER SCHOOL,294,16,0
2016-2017,Linn,SANTIAM ELEMENTARY,293,17,2
2016-2017,Linn,SANTIAM JR/SR HIGH,232,9,1
2016-2017,Linn,SCIO HIGH SCHOOL,255,3,1
