Year,Site Name,County,Enrollment,PBE
2015-2016,"PORTLAND HEAD START EARLY CHILDHOOD ED (PORTLAND,",MULTNOMAH ,818,22
2015-2016,PORTLAND INTERNATIONAL SCHOLARS ACADEMY,MULTNOMAH ,36,0
2015-2016,PORTLAND JEWISH ACADEMY,MULTNOMAH ,181,4
2015-2016,PORTLAND JEWISH ACADEMY PRESCHOOL,MULTNOMAH ,141,3
2015-2016,PORTLAND KINDERSCHULE CO-OP,MULTNOMAH ,12,0
2015-2016,PORTLAND LUTHERAN SCHOOL,MULTNOMAH ,213,5
2015-2016,PORTLAND MONTESSORI COLLABORATIVE,MULTNOMAH ,83,18
2015-2016,PORTLAND MONTESSORI SCHOOL,MULTNOMAH ,151,4
2015-2016,PORTLAND PRESCHOOL,MULTNOMAH ,15,6
2015-2016,"PORTLAND SCHOOL OF EXPERIENTIAL EDUCATION, THE",MULTNOMAH ,41,7
2015-2016,PORTLAND TILLAMOOK COOP PRESCHOOL,MULTNOMAH ,35,6
2015-2016,PORTLAND VILLAGE SCHOOL,MULTNOMAH ,413,196
2015-2016,PORTLAND YOUTH BUILDERS,MULTNOMAH ,19,0
2015-2016,POWELL VALLEY GRADE SCHOOL,MULTNOMAH ,475,25
2015-2016,POWELL VALLEY PRESCHOOL AND CHILDCARE,MULTNOMAH ,11,0
2015-2016,POWELLHURST DAY CARE INC,MULTNOMAH ,15,0
2015-2016,PRESCOTT ES,MULTNOMAH ,374,10
2015-2016,PROVIDENCE WEE CARE,MULTNOMAH ,86,1
2015-2016,PUDDLETOWN SCHOOL,MULTNOMAH ,74,21
2015-2016,PURPLE MOON CHILD DEVELOPMENT CENTER,MULTNOMAH ,43,2
2015-2016,RENAISSANCE SCHOOL OF ARTS AND SCIENCE,MULTNOMAH ,122,35
2015-2016,REYNOLDS ARTHUR ACADEMY,MULTNOMAH ,194,13
2015-2016,REYNOLDS COMMUNITY PRESCHOOL @ REYNOLDS HIGH,MULTNOMAH ,46,4
2015-2016,REYNOLDS HS,MULTNOMAH ,"2,599",67
2015-2016,REYNOLDS LEARNING ACADEMY,MULTNOMAH ,261,3
2015-2016,REYNOLDS MS,MULTNOMAH ,945,19
2015-2016,RICHMOND ES,MULTNOMAH ,675,78
2015-2016,RIEKE ES,MULTNOMAH ,403,31
2015-2016,RIGLER K-5,MULTNOMAH ,475,12
2015-2016,RISING SONG PRESCHOOL,MULTNOMAH ,24,11
2015-2016,RISING SONG PRESCHOOL II,MULTNOMAH ,22,12
2015-2016,RISING STARS CHILD DEVELOPMENT CENTER,MULTNOMAH ,43,0
2015-2016,RIVERDALE GRADE SCHOOL,MULTNOMAH ,380,18
2015-2016,RIVERDALE HIGH SCHOOL,MULTNOMAH ,244,23
2015-2016,ROBERT GRAY  MS,MULTNOMAH ,534,35
2015-2016,RON RUSSELL MS,MULTNOMAH ,896,42
2015-2016,ROOSEVELT HS,MULTNOMAH ,928,34
2015-2016,ROSA PARKS E.S.,MULTNOMAH ,360,10
2015-2016,ROSE CITY COOPERATIVE PRESCHOOL,MULTNOMAH ,31,2
2015-2016,ROSE CITY DAY NURSERY,MULTNOMAH ,26,4
2015-2016,ROSEMARY ANDERSON HS,MULTNOMAH ,178,2
2015-2016,ROSEMARY ANDERSON HS EAST,MULTNOMAH ,144,0
2015-2016,ROSEWAY HEIGHTS K-8,MULTNOMAH ,670,34
2015-2016,ROWANBERRY SCHOOL,MULTNOMAH ,17,2
2015-2016,RUNABOUTS FAMILY PRESCHOOL,MULTNOMAH ,10,NA
2015-2016,RUSSELL ACADEMY,MULTNOMAH ,431,14
2015-2016,SABIN K-8,MULTNOMAH ,517,36
2015-2016,SACRAMENTO ES,MULTNOMAH ,407,16
2015-2016,SALISH PONDS ES,MULTNOMAH ,467,12
2015-2016,SAM BARLOW BRUIN BUDDIES PRESCHOOL,MULTNOMAH ,23,4
2015-2016,SAM BARLOW HS,MULTNOMAH ,"1,692",45
2015-2016,SCHOOLITA ALEGRIA,MULTNOMAH ,10,1
2015-2016,SCOTT K-8,MULTNOMAH ,484,16
2015-2016,SCRIBBLES PRESCHOOL,MULTNOMAH ,96,0
2015-2016,SELF ENHANCEMENT INC. ACADEMY,MULTNOMAH ,133,4
2015-2016,SELLWOOD BILINGUAL CHILDCARE PRESCHOOL,MULTNOMAH ,24,8
2015-2016,SELLWOOD COMMUNITY CENTER,MULTNOMAH ,61,1
2015-2016,SELLWOOD MS,MULTNOMAH ,540,43
2015-2016,SERENDIPITY CENTER,MULTNOMAH ,109,4
2015-2016,SHANNON'S CHILD CARE AND PRESCHOOL,MULTNOMAH ,10,0
2015-2016,SHAVER ES,MULTNOMAH ,314,8
2015-2016,SHINING STAR SCHOOL,MULTNOMAH ,93,52
2015-2016,SILETZ TRIBAL HEADSTART,MULTNOMAH ,17,0
2015-2016,SILK ROADS MONTESSORI,MULTNOMAH ,14,2
2015-2016,SITTON ES,MULTNOMAH ,407,6
2015-2016,SKYLINE K-8,MULTNOMAH ,306,17
2015-2016,SMALL WONDERS SCHOOL,MULTNOMAH ,22,0
2015-2016,SMALL WONDERS SCHOOL - HOLLYWOOD,MULTNOMAH ,19,1
2015-2016,"SMALL WORLD LEARNING CENTER, INC.",MULTNOMAH ,78,0
2015-2016,SONBEAM DAYCARE CTR,MULTNOMAH ,29,2
2015-2016,SOUTHWEST CHARTER SCHOOL,MULTNOMAH ,185,57
2015-2016,SOUTHWEST PARENT CHILD COLLECTIVE,MULTNOMAH ,51,9
2015-2016,SPRINGWATER TRAIL HS,MULTNOMAH ,159,4
2015-2016,SPROUT ACADEMY - SW COMMUNITY CENTER,MULTNOMAH ,66,4
2015-2016,ST AGATHA SCHOOL,MULTNOMAH ,230,13
2015-2016,ST ANDREW'S NATIVITY SCHOOL,MULTNOMAH ,80,0
2015-2016,ST CLARE ELEMENTRY SCHOOL,MULTNOMAH ,230,3
2015-2016,ST CLARE PRESCHOOL & DAYCARE,MULTNOMAH ,90,2
2015-2016,ST IGNATIUS SCHOOL,MULTNOMAH ,242,7
2015-2016,ST JAMES CHILD DEVELOPMENT CENTER,MULTNOMAH ,120,2
2015-2016,ST JOHN FISHER SCHOOL,MULTNOMAH ,224,0
2015-2016,ST JOHNS COMMUNITY CENTER PRESCHOOL,MULTNOMAH ,45,1
2015-2016,ST MARY'S ACADEMY,MULTNOMAH ,704,31
2015-2016,ST THERESE SCHOOL,MULTNOMAH ,236,4
2015-2016,ST THOMAS MOORE PARISH SCHOOL,MULTNOMAH ,228,10
2015-2016,STEP BY STEP CHILD DEV. CENTER,MULTNOMAH ,21,0
2015-2016,STEPHENSON ES,MULTNOMAH ,306,13
2015-2016,STEPPING STONE DAY SCHOOL CTR,MULTNOMAH ,155,0
2015-2016,STEPPING STONE DAY SCHOOL-HIGHLAND,MULTNOMAH ,95,2
2015-2016,STUMPTOWN KIDS,MULTNOMAH ,12,2
2015-2016,SUMMA ACADEMY,MULTNOMAH ,36,7
2015-2016,SUN FERN MONTESSORI CHILDREN'S HOUSE,MULTNOMAH ,13,4
2015-2016,SUNNYSIDE ENVIRONMENTAL K-8,MULTNOMAH ,596,139
2015-2016,SUNNYSIDE MENNONITE MONTESSORI,MULTNOMAH ,17,4
2015-2016,SUNNYSIDE MONTESSORI HOUSE OF CHILDREN,MULTNOMAH ,38,1
2015-2016,SUNSET PRESCHOOL CO-OP,MULTNOMAH ,23,1
2015-2016,SUNSHINE DAYCARE SCHOOL,MULTNOMAH ,73,11
2015-2016,SUNSTONE MONTESSORI SCHOOL,MULTNOMAH ,193,38
2015-2016,SWEETBRIAR ES,MULTNOMAH ,390,12
2015-2016,TABOR TOTS PRESCHOOL,MULTNOMAH ,14,2
2015-2016,TABOR TOTS PRESCHOOL II,MULTNOMAH ,17,3
2015-2016,TENDER LOVING CHILDCARE,MULTNOMAH ,19,0
2015-2016,TINY REVOLUTION MONTESSORI,MULTNOMAH ,34,0
2015-2016,TODDLER HOUSE PDX,MULTNOMAH ,17,1
2015-2016,TREE OF KNOWLEDGE PRESCHOOL,MULTNOMAH ,104,9
2015-2016,TREEHILL DAY SCHOOL,MULTNOMAH ,22,0
2015-2016,"TREEHOUSE NURSERY, THE",MULTNOMAH ,33,17
2015-2016,TRILLIUM PUBLIC CHARTER,MULTNOMAH ,364,141
2015-2016,TRINITY ACADEMY,MULTNOMAH ,45,0
2015-2016,TRINITY LUTHERAN SCHOOL,MULTNOMAH ,113,1
2015-2016,TROUTDALE ES,MULTNOMAH ,407,25
2015-2016,TUCKER MAXON ORAL SCHOOL,MULTNOMAH ,111,9
2015-2016,"TULIP TREE PRESCHOOL, LLC",MULTNOMAH ,25,2
2015-2016,TUMBLEWEED INFANT HOUSE LLC,MULTNOMAH ,17,0
2015-2016,TUMBLEWEED PRESCHOOL HOUSE LLC,MULTNOMAH ,16,2
2015-2016,VENTURA PARK ES,MULTNOMAH ,514,34
2015-2016,VERMONT HILLS FLC- ST ANDREWS,MULTNOMAH ,78,6
2015-2016,VERMONT HILLS FLC- ST LUKE,MULTNOMAH ,45,5
2015-2016,VERMONT HILLS FLC- UNIVERSITY OF PTD,MULTNOMAH ,15,0
2015-2016,VERMONT HILLS FLC- VA,MULTNOMAH ,29,1
2015-2016,VERNON K-8,MULTNOMAH ,388,20
2015-2016,VESTAL K-8,MULTNOMAH ,406,9
2015-2016,VILLAGE CHILDCARE,MULTNOMAH ,26,0
2015-2016,VILLAGE PRESCHOOL (CO-OP),MULTNOMAH ,24,3
2015-2016,VIOLET GARDEN WALDORF PRESCHOOL,MULTNOMAH ,16,7
2015-2016,VOLUNTEERS OF AMERICA- EAST FAMILY RELIEF NURSERY,MULTNOMAH ,15,0
2015-2016,VOLUNTEERS OF AMERICA- GATEWAY DROP IN CENTER,MULTNOMAH ,61,0
2015-2016,VOLUNTEERS OF AMERICA- OREGON FAMILY RELIEF NURSER,MULTNOMAH ,40,0
2015-2016,WALT MOREY MS,MULTNOMAH ,640,23
2015-2016,WE GATHER TOGETHER PRESCHOOL,MULTNOMAH ,12,7
2015-2016,WE VILLAGE,MULTNOMAH ,18,0
2015-2016,WEE WORKS DAY CARE CTR,MULTNOMAH ,46,2
2015-2016,WELLINGTON PRESCHOOL,MULTNOMAH ,15,0
2015-2016,WEST GRESHAM ES,MULTNOMAH ,293,12
2015-2016,WEST HILLS CHRISTIAN SCHOOL,MULTNOMAH ,451,33
2015-2016,WEST HILLS EARLY CHILDHOOD LEARNING CENTER,MULTNOMAH ,107,7
2015-2016,WEST HILLS MONTESSORI SCHOOL,MULTNOMAH ,159,20
2015-2016,WEST ORIENT MS,MULTNOMAH ,441,9
2015-2016,WEST POWELLHURST ES,MULTNOMAH ,473,35
2015-2016,WEST SYLVAN MS,MULTNOMAH ,955,40
2015-2016,WHITE SHIELD SCHOOL,MULTNOMAH ,11,0
2015-2016,WHITMAN ES,MULTNOMAH ,316,16
2015-2016,WHOLE CHILD MONTESSORI CENTER INC,MULTNOMAH ,49,9
2015-2016,WILD LILAC CHILD DEVELOPMENT COMMUNITY,MULTNOMAH ,98,22
2015-2016,WILDFLOWERS PRESCHOOL,MULTNOMAH ,17,6
2015-2016,WILDWOOD NATURE SCHOOL,MULTNOMAH ,12,2
2015-2016,"WILDWOOD PRESCHOOL, LLC",MULTNOMAH ,22,5
2015-2016,WILKES ES,MULTNOMAH ,431,8
2015-2016,WILLOW TREE PRESCHOOL,MULTNOMAH ,17,3
2015-2016,WILSON HIGH SCHOOL,MULTNOMAH ,"1,256",55
2015-2016,WINDSONG PRESCHOOL,MULTNOMAH ,17,14
2015-2016,WINTERHAVEN K-8,MULTNOMAH ,345,36
2015-2016,WOODLAND ES,MULTNOMAH ,536,22
2015-2016,WOODLAWN PK-8,MULTNOMAH ,445,12
2015-2016,WOODMERE E.S.,MULTNOMAH ,324,9
2015-2016,WOODSTOCK COMMUNITY CENTER PRESCHOOL,MULTNOMAH ,20,4
2015-2016,WOODSTOCK ES,MULTNOMAH ,482,32
2015-2016,WOODWARD MONTESORRI,MULTNOMAH ,21,5
2015-2016,WOW & FLUTTERVILLE PLAYGARDEN INFANT AND TODDLER,MULTNOMAH ,18,4
2015-2016,WOW AND FLUTTERVILLE PLAYOPOLIS,MULTNOMAH ,17,0
2015-2016,WYNNE WATTS SCHOOL,MULTNOMAH ,10,0
2015-2016,YMCA - ODS YMCA CHILD DEVELOPMENT,MULTNOMAH ,78,2
2015-2016,YMCA - ST ANTHONY'S CHILD DEVELOPMENT CENTER,MULTNOMAH ,81,2
2015-2016,YMCA - Y'S CHOICE CHILD DEVELOPMENT CENTER,MULTNOMAH ,67,8
2015-2016,YMCA SE CHILD DEVELOPMENT CENTER,MULTNOMAH ,65,1
2015-2016,YOUNG WONDERS PRE-SCHOOL,MULTNOMAH ,19,1
2015-2016,YOUNGSET PRESCHOOL CO-OP,MULTNOMAH ,52,4
2015-2016,YOUTH PROGRESS ASSOCIATION,MULTNOMAH ,36,1
2015-2016,YU MIAO CHINESE IMMERSION PRESCHOOL,MULTNOMAH ,20,0
2015-2016,YURI'S CERTIFIED DAYCARE,MULTNOMAH ,16,0
2015-2016,ASH CREEK ELEMENTARY,POLK ,509,7
2015-2016,AUNTIE M'S CHILD CARE,POLK ,15,0
2015-2016,BRUSH COLLEGE ELEMENTARY,POLK ,212,11
2015-2016,CENTRAL HIGH SCHOOL,POLK ,969,35
2015-2016,CHAPMAN HILL,POLK ,368,29
2015-2016,DALLAS HIGH SCHOOL,POLK ,"1,043",43
2015-2016,EOLA HILLS CHARTER SCHOOL,POLK ,52,0
2015-2016,FAITH CHRISTIAN SCHOOL,POLK ,119,0
2015-2016,FALLS CITY ELEMENTARY,POLK ,103,5
2015-2016,FALLS CITY HIGH SCHOOL,POLK ,40,1
2015-2016,FAMILY BUILDING BLOCKS - GRACIE'S PLACE EARLY HEAD,POLK ,35,0
2015-2016,FAMILY BUILDING BLOCKS - GRACIE'S PLACE RELIEF NUR,POLK ,13,0
2015-2016,FAMILY CHRISTIAN SCHOOL/GRACE BAPTIST CHURCH,POLK ,21,7
2015-2016,GRACE CHRISTIAN PRESCHOOL & KINDERGARTEN,POLK ,116,6
2015-2016,HARRITT ELEMENTARY,POLK ,503,12
2015-2016,INDEPENDENCE ELEMENTARY SCHOOL,POLK ,428,11
2015-2016,KALAPUYA ELEMENTARY,POLK ,624,38
2015-2016,LACREOLE MIDDLE SCHOOL,POLK ,654,23
2015-2016,LEARNING HEARTS PRESCHOOL,POLK ,26,0
2015-2016,LITTLE HEARTS CHILDCARE,POLK ,16,0
2015-2016,LVC-BRIDGEPORT CAMPUS,POLK ,198,13
2015-2016,LYLE ELEMENTARY SCHOOL,POLK ,440,16
2015-2016,MCACS (MORRISON CHARTER SCHOOL),POLK ,71,4
2015-2016,MID VALLEY CHRISTIAN ACADEMY,POLK ,67,12
2015-2016,MONMOUTH ELEMENTARY SCHOOL,POLK ,534,22
2015-2016,MONMOUTH INDEPENDENCE COMMUNITY  PRESCHOOL,POLK ,35,0
2015-2016,MONMOUTH MONTESSORI SCHOOL LLC,POLK ,28,3
2015-2016,MWV COMMUNITY ACTION EARLY HEAD START - DALLAS,POLK ,151,3
2015-2016,MWV COMMUNITY ACTION HEAD START,POLK ,151,0
2015-2016,MYERS ELEMENTARY,POLK ,478,24
2015-2016,NEW HORIZON PRESCHOOL,POLK ,10,1
2015-2016,OAKDALE HEIGHTS,POLK ,364,19
2015-2016,OREGON CHILD DEVELOPMENT COALITION EARLY HEAD STAR,POLK ,10,0
2015-2016,OREGON CHILD DEVELOPMENT SEASONAL HEAD START,POLK ,22,0
2015-2016,PADTC,POLK ,17,0
2015-2016,PERRYDALE SCHOOL,POLK ,314,11
2015-2016,RIVIERA CHRISTIAN SCHOOL & DAYCARE,POLK ,190,12
2015-2016,SALEM  CHILD DEVELOPMENT CENTER/DALLAS LATCHKEY AN,POLK ,34,1
2015-2016,STRAUB MIDDLE SCHOOL,POLK ,588,29
2015-2016,TALMADGE MIDDLE SCHOOL,POLK ,666,16
2015-2016,TEACHING RESEARCH INSTITUTE & CHILD DEVELOPMENT CE,POLK ,47,1
2015-2016,WAKE ROBIN SCHOOL,POLK ,14,0
2015-2016,WALKER MIDDLE SCHOOL,POLK ,609,21
2015-2016,WALLACE LEARNING TREE,POLK ,57,0
2015-2016,WEST SALEM HIGH SCHOOL,POLK ,"1,698",67
2015-2016,WEST SALEM KIDS CARE/WEST SALEM KIDS CARE TODDLER,POLK ,26,2
2015-2016,WEST SALEM TITAN TOTS,POLK ,29,1
2015-2016,WESTERN MENNONITE SCHOOL,POLK ,202,16
2015-2016,WHITWORTH ELEMENTARY,POLK ,406,15
2015-2016,WILLAMETTE ESD - EI/ECSE REGIONAL SERVICES,POLK ,46,2
2015-2016,CEDAR CREEK CHILD CARE CENTER,TILLAMOOK ,15,0
2015-2016,CREATIVE MINDS,TILLAMOOK ,20,1
2015-2016,EAST ELEMENTARY,TILLAMOOK ,466,14
2015-2016,GARIBALDI GRADE SCHOOL,TILLAMOOK ,214,10
2015-2016,HENDRICKSON ACADEMY,TILLAMOOK ,24,11
2015-2016,LIBERTY ELEMENTARY,TILLAMOOK ,350,6
2015-2016,LITTLE CLIPPER PRESCHOOL,TILLAMOOK ,88,2
2015-2016,NEAHKAHNIE HIGH SCHOOL,TILLAMOOK ,205,12
2015-2016,NEAHKAHNIE MIDDLE SCHOOL,TILLAMOOK ,167,9
2015-2016,NEAHKAHNIE PRESCHOOL,TILLAMOOK ,30,0
2015-2016,NEHALEM ELEMENTARY,TILLAMOOK ,182,22
2015-2016,NESKOWIN VALLEY SCHOOL,TILLAMOOK ,21,6
2015-2016,NESTUCCA MIDDLE/HIGH SCHOOL,TILLAMOOK ,235,6
2015-2016,NESTUCCA VALLEY ELEMENTARY SCHOOL,TILLAMOOK ,250,13
2015-2016,NESTUCCA VALLEY HEAD START,TILLAMOOK ,19,1
2015-2016,NEW DISCOVERIES PRESCHOOL,TILLAMOOK ,12,3
2015-2016,NORTHWEST REGIONAL ESD,TILLAMOOK ,12,0
2015-2016,OCEAN BREEZE SCHOOL,TILLAMOOK ,36,3
2015-2016,PACIFIC CHRISTIAN SCHOOL,TILLAMOOK ,19,0
2015-2016,SOUTH PRAIRIE ELEMENTARY SCHOOL,TILLAMOOK ,311,9
2015-2016,TILLAMOOK ADVENTIST SCHOOL,TILLAMOOK ,71,6
2015-2016,TILLAMOOK EARLY LEARNING CENTER,TILLAMOOK ,63,3
2015-2016,TILLAMOOK HEAD START,TILLAMOOK ,48,0
2015-2016,TILLAMOOK HIGH SCHOOL,TILLAMOOK ,639,16
2015-2016,TILLAMOOK JUNIOR HIGH SCHOOL,TILLAMOOK ,291,3
2015-2016,TILLAMOOK YOUTH CORRECTIONAL FACILITY,TILLAMOOK ,72,0
2015-2016,YMCA PRESCHOOL/CHILD CARE FACILITY,TILLAMOOK ,13,0
2015-2016,ABC CHILDREN'S MINISTRY,UMATILLA ,16,0
2015-2016,ANDERSON FARM LEARNING CENTER,UMATILLA ,15,0
2015-2016,ARMAND LARIVE MIDDLE SCHOOL,UMATILLA ,678,16
2015-2016,ATAW MIYANASMA LEARNING CENTER,UMATILLA ,22,0
2015-2016,ATHENA ELEMENTARY,UMATILLA ,183,3
2015-2016,BETHLEHEM LUTHERAN PRESCHOOL,UMATILLA ,87,3
2015-2016,BRIGHT BEGINNINGS,UMATILLA ,16,0
2015-2016,BUSY BEES CHILDCARE,UMATILLA ,12,0
2015-2016,CAY-UMA-WA HEADSTART,UMATILLA ,35,1
2015-2016,CENTRAL MIDDLE SCHOOL,UMATILLA ,399,9
2015-2016,CLARA BROWNELL MIDDLE SCHOOL,UMATILLA ,302,2
2015-2016,DESERT VIEW ELEMENTARY,UMATILLA ,533,5
2015-2016,ECHO ELEMENTARY AND HIGH SCHOOL,UMATILLA ,244,0
2015-2016,FERNDALE ELEMENTARY,UMATILLA ,274,12
2015-2016,FREEWATER ELEMENTARY,UMATILLA ,285,3
2015-2016,GOOD SHEPHERD CHILDREN'S CTR,UMATILLA ,51,0
2015-2016,GROVE ELEMENTARY,UMATILLA ,297,1
2015-2016,HARRIS JUNIOR ACADEMY,UMATILLA ,19,0
2015-2016,HAWTHORNE SCHOOL,UMATILLA ,46,0
2015-2016,HELIX SCHOOL DISTRICT,UMATILLA ,175,7
2015-2016,HERMISTON CHRISTIAN SCHOOL,UMATILLA ,85,3
2015-2016,HERMISTON HIGH SCHOOL,UMATILLA ,"1,515",17
2015-2016,HERMISTON JUNIOR ACADEMY,UMATILLA ,49,1
2015-2016,HIGHLAND HILLS ELEMENTARY,UMATILLA ,418,23
2015-2016,HOMESTEAD YOUTH,UMATILLA ,25,0
2015-2016,INTERMOUNTAIN EDUCATION SERVICE DISTRICT EI/ECSE,UMATILLA ,141,1
2015-2016,KING'S KIDS  PRESCHOOL,UMATILLA ,43,0
2015-2016,LIFEWAYS DAY TREATMENT PROGRAM,UMATILLA ,22,0
2015-2016,LIGHTHOUSE CHRISTIAN ACADEMY,UMATILLA ,19,0
2015-2016,LIL ANGELS CHILD CARE,UMATILLA ,42,0
2015-2016,LINCOLN PRIMARY SCHOOL,UMATILLA ,184,6
2015-2016,LOLITA'S DAY CARE,UMATILLA ,15,0
2015-2016,MAGIC YEARS,UMATILLA ,10,0
2015-2016,MCKAY CREEK ELEMENTARY,UMATILLA ,352,8
2015-2016,MCLOUGHLIN HIGH,UMATILLA ,514,4
2015-2016,MCNARY HEIGHTS ELEMENTARY,UMATILLA ,673,10
2015-2016,MILTON-STATELINE SDA SCHOOL,UMATILLA ,106,4
2015-2016,NIXYAAWII COMMUNITY SCHOOL,UMATILLA ,52,0
2015-2016,OREGON CHILD DEVELOPMENT COALITION,UMATILLA ,28,0
2015-2016,PENDLETON HIGH SCHOOL,UMATILLA ,882,13
2015-2016,PENDLETON PRESCHOOL,UMATILLA ,24,0
2015-2016,PILOT ROCK ELEMENTARY,UMATILLA ,202,7
2015-2016,PILOT ROCK JR/SR HIGH SCHOOL,UMATILLA ,178,3
2015-2016,PIONEER RELIEF NURSERY,UMATILLA ,39,0
2015-2016,PRESBYTERIAN CHURCH PRESCHOOL,UMATILLA ,64,4
2015-2016,ROCKY HEIGHTS ELEMENTARY,UMATILLA ,508,5
2015-2016,"ROOM TO BLOOM DAYCARE AND PRESCHOOL, LLC",UMATILLA ,32,0
2015-2016,SANDSTONE MIDDLE SCHOOL,UMATILLA ,520,3
2015-2016,SHERWOOD HEIGHTS ELEMENTARY,UMATILLA ,437,8
2015-2016,SONSHINE PRESCHOOL,UMATILLA ,12,0
2015-2016,STANFIELD ELEMENTARY,UMATILLA ,263,2
2015-2016,STANFIELD SECONDARY,UMATILLA ,233,0
2015-2016,SUNRIDGE MIDDLE SCHOOL,UMATILLA ,702,13
2015-2016,SUNSET ELEMENTARY,UMATILLA ,557,5
2015-2016,THREE R'S MONTESSORI SCHOOL,UMATILLA ,41,0
2015-2016,TOTALLY KIDS LLC,UMATILLA ,12,1
2015-2016,UKIAH ELEMENTARY AND HIGH SCHOOL,UMATILLA ,46,1
2015-2016,UMATILLA HIGH SCHOOL,UMATILLA ,409,2
2015-2016,UMATILLA MORROW COUNTY HEADSTART,UMATILLA ,492,5
2015-2016,WASHINGTON ELEMENTARY,UMATILLA ,372,0
2015-2016,WEST HILLS INTERMEDIATE,UMATILLA ,187,3
2015-2016,WEST PARK ELEMENTARY,UMATILLA ,529,2
2015-2016,WESTON MIDDLE SCHOOL,UMATILLA ,199,4
2015-2016,WESTON-MCEWEN HIGH SCHOOL,UMATILLA ,195,2
2015-2016,CENTRAL ELEMENTARY SCHOOL,UNION ,380,0
2015-2016,COVE SCHOOL DISTRICT/CHARTER SCHOOL,UNION ,273,12
2015-2016,EASTERN OREGON HEAD START,UNION ,117,3
2015-2016,ELGIN STELLA MAYFIELD ELEMENTARY COMBINED WITH ELG,UNION ,396,24
2015-2016,GRANDE RONDE ACADEMY,UNION ,49,1
2015-2016,GRANDE RONDE MENNONITE SCHOOL,UNION ,43,26
2015-2016,GREENWOOD ELEMENTARY SCHOOL,UNION ,284,14
2015-2016,HEIDI HO PRESCHOOL AND KINDERGARTEN,UNION ,130,6
2015-2016,IMBLER ELEMENTARY,UNION ,154,12
2015-2016,IMBLER JR/SR HIGH,UNION ,162,15
2015-2016,INTERMOUNTAIN ESD/ECSE PROGRAM,UNION ,34,0
2015-2016,ISLAND CITY ELEMENTARY,UNION ,259,18
2015-2016,LA GRANDE HIGH SCHOOL,UNION ,608,41
2015-2016,LA GRANDE MIDDLE SCHOOL,UNION ,507,27
2015-2016,LA GRANDE SEVENTH DAY ADVENTIST SCHOOL,UNION ,25,0
2015-2016,LIGHTHOUSE APOSTOLIC ACADEMY,UNION ,99,0
2015-2016,LITTLE FRIENDS CHRISTIAN PRESCHOOL/DAYCARE,UNION ,27,0
2015-2016,MARIAN ACADEMY,UNION ,36,0
2015-2016,NORTH POWDER SCHOOL,UNION ,277,9
2015-2016,OAK HAVEN,UNION ,14,0
2015-2016,RIVERBEND HIGH SCHOOL OYA,UNION ,16,0
2015-2016,UNION ELEMENTARY SCHOOL COMBINED WITH UNION HIGH S,UNION ,342,10
2015-2016,WILLOW ELEMENTARY SCHOOL,UNION ,168,5
2015-2016,ACADEMIC BUILDING CENTER,WALLOWA ,17,0
2015-2016,ENTERPRISE ELEMENTARY,WALLOWA ,205,17
2015-2016,ENTERPRISE JR/SR HIGH SCHOOL,WALLOWA ,185,22
2015-2016,ENTERPRISE SEVENTH DAY ADVENTIST SCHOOL,WALLOWA ,15,0
2015-2016,JOSEPH SCHOOLS,WALLOWA ,225,25
2015-2016,THE LEARNING TREE MONTESSORI SCHOOL,WALLOWA ,15,1
2015-2016,WALLOWA COUNTY HEAD START,WALLOWA ,32,5
2015-2016,WALLOWA ELEMENTARY SCHOOL,WALLOWA ,134,9
2015-2016,WALLOWA JR/SR HIGH SCHOOL,WALLOWA ,96,4
2015-2016,ARLINGTON CHILD CARE,GILLIAM/SHERMAN/WASCO,17,1
2015-2016,ARLINGTON COMMUNITY PRESCHOOL,GILLIAM/SHERMAN/WASCO,15,0
2015-2016,ARLINGTON ELEMENTARY,GILLIAM/SHERMAN/WASCO,103,5
2015-2016,ARLINGTON HIGH SCHOOL,GILLIAM/SHERMAN/WASCO,44,0
2015-2016,CHENOWITH ELEMENTARY SCHOOL,GILLIAM/SHERMAN/WASCO,464,18
2015-2016,COLONEL WRIGHT ELEMENTARY SCHOOL,GILLIAM/SHERMAN/WASCO,351,11
2015-2016,"CONDON CHILD CARE, INC",GILLIAM/SHERMAN/WASCO,28,2
2015-2016,CONDON GRADE SCHOOL,GILLIAM/SHERMAN/WASCO,85,5
2015-2016,CONDON HIGH SCHOOL,GILLIAM/SHERMAN/WASCO,42,1
2015-2016,DRY HOLLOW ELEMENTARY SCHOOL,GILLIAM/SHERMAN/WASCO,524,12
2015-2016,DUFUR SCHOOL DIST #29,GILLIAM/SHERMAN/WASCO,285,4
2015-2016,EARLY HEAD START - MID-COLUMBIA CHILDREN'S COUNCIL,GILLIAM/SHERMAN/WASCO,15,1
2015-2016,GREAT 'N SMALL CHILD DEVELOPMENT CENTER,GILLIAM/SHERMAN/WASCO,128,10
2015-2016,LITTLE WHEATS DAYCARE,GILLIAM/SHERMAN/WASCO,10,0
2015-2016,MAUPIN GRADESCHOOL (S. WASCO ELEMENTARY),GILLIAM/SHERMAN/WASCO,108,2
2015-2016,MAUPIN HEAD START - MID COLUMBIA CHILDRENS COUNCIL,GILLIAM/SHERMAN/WASCO,17,1
2015-2016,METHODIST PRESCHOOL,GILLIAM/SHERMAN/WASCO,29,0
2015-2016,MID-COLUMBIA ALTERNATIVE SCHOOL BASED TREATMENT (M,GILLIAM/SHERMAN/WASCO,11,0
