Year,RCDTS,Total_Enrolled,PBE_total,PME_total
2012,60160925022002,412,1,0
2012,60160925022003,446,3,1
2012,60160930022001,514,0,1
2012,60160940022001,522,1,0
2012,60160950021001,398,3,0
2012,60160950022002,696,6,4
2012,60160960021004,570,6,0
2012,60160960022001,319,4,0
2012,60160960022002,165,2,0
2012,60160960022003,403,7,0
2012,60160960022005,128,3,1
2012,60160970021003,890,3,1
2012,60160970021004,936,9,0
2012,60160970022001,427,3,0
2012,60160970022003,328,5,0
2012,60160970022005,523,13,2
2012,60160970022006,491,10,2
2012,60160970022007,595,9,1
2012,60160970022008,669,11,0
2012,60160970022009,503,2,0
2012,60160970022010,416,15,2
2012,60160980021004,1096,1,1
2012,60160980022001,900,1,0
2012,60160980022002,725,1,1
2012,60160980022003,654,0,2
2012,60160990021002,2699,0,0
2012,60160990022001,1153,0,0
2012,60160990022002,827,0,0
2012,60160990022003,553,0,0
2012,60160990022004,589,1,0
2012,60160990022005,757,1,0
2012,60160990022006,964,0,0
2012,60160990022007,309,0,0
2012,60160990022008,663,0,0
2012,60160990022009,372,0,0
2012,60160990022010,907,1,0
2012,60160990022011,458,1,1
2012,60160990022012,242,0,0
2012,60160990022013,892,0,0
2012,60160990022014,1067,0,0
2012,60160990022015,940,0,0
2012,60161000021002,622,0,0
2012,60161000021003,624,0,1
2012,60161000022001,363,0,0
2012,60161000022003,580,0,0
2012,60161000022004,492,1,0
2012,60161000022006,483,0,0
2012,60161000022007,310,0,0
2012,60161000022008,534,3,1
2012,60161010021006,522,3,0
2012,60161010022001,342,8,0
2012,60161010022002,261,2,0
2012,60161010022005,394,2,0
2012,60161020021004,702,1,0
2012,60161020022001,378,5,0
2012,60161020022002,621,11,0
2012,60161020022003,461,7,0
2012,60161020022007,629,3,1
2012,60161020022008,268,1,0
2012,60161030022002,294,0,1
2012,60161030022004,245,3,0
2012,60161030022005,489,2,0
2012,60161030022006,289,0,2
2012,60161030022007,782,0,2
2012,60161030022008,292,0,0
2012,60161050021001,280,0,0
2012,60161050022002,197,0,0
2012,60161050022003,371,6,0
2012,60161050022004,232,3,0
2012,60161050022005,344,9,0
2012,60161060021003,338,3,1
2012,60161060022001,530,5,2
2012,60161070021001,348,6,0
2012,60161070022002,459,14,0
2012,60162000130001,3223,23,2
2012,60162010170001,3525,0,0
2012,60162010170002,3527,6,1
2012,60162010170003,1270,1,0
2012,60162010173001,87,0,0
2012,60162040170001,4036,35,1
2012,60162080170001,1461,6,3
2012,60162090170001,1936,8,0
2012,60162090170002,2324,1,1
2012,60162090170003,819,0,0
2012,60162120160001,1750,3,4
2012,60162120160002,1731,1,0
2012,60162340160001,774,0,0
2012,60164010260001,994,0,0
2012,60164010261001,431,0,0
2012,60164010262003,583,2,1
2012,60164010262004,647,7,0
2012,60164010262005,233,2,0
2012,60165270513101,60,0,0
2012,70161040021001,494,1,0
2012,70161040022001,188,0,0
2012,70161040022003,575,0,0
2012,70161040022004,201,0,0
2012,70161040022005,356,0,0
2012,70161080022001,311,0,1
2012,70161090021006,578,0,1
2012,70161090022001,496,1,0
2012,70161090022002,777,0,0
2012,70161090022004,468,2,0
2012,70161090022006,519,0,0
2012,70161090022007,251,0,0
2012,70161100022002,457,0,0
2012,70161110021001,740,1,0
2012,70161110022001,541,2,1
2012,70161110022002,299,0,0
2012,70161110022005,328,0,0
2012,70161110022006,405,0,0
2012,70161110022007,289,1,1
2012,70161110022010,256,0,0
2012,70161110022011,431,1,0
2012,70161170021001,949,2,1
2012,70161170022002,455,0,1
2012,70161170022003,678,4,2
2012,70161170022004,611,4,3
2012,70161170022005,437,1,0
2012,70161180041004,651,7,1
2012,70161180042002,762,14,5
2012,70161180042003,447,8,0
2012,70161220021005,705,1,0
2012,70161220022001,376,2,1
2012,70161220022002,347,2,0
2012,70161220022003,530,4,1
2012,70161220022004,399,3,0
2012,70161230021001,1032,4,1
2012,70161230022003,431,4,1
2012,70161230022006,363,0,0
2012,70161230022007,373,1,0
2012,70161230022008,446,3,0
2012,70161230022010,437,3,1
2012,70161240021001,451,2,1
2012,70161240022002,323,4,0
2012,70161240022003,319,3,0
2012,70161240022004,357,3,0
2012,70161240022005,375,6,1
2012,70161250021001,212,0,2
2012,70161250022003,273,2,0
2012,70161250022004,238,0,0
2012,70161260021005,338,1,0
2012,70161260022001,325,1,0
2012,70161260022002,276,0,1
2012,70161260022004,625,1,0
2012,70161270021005,336,2,0
2012,70161270022001,416,5,1
2012,70161270022004,274,0,0
2012,70161270023001,38,0,0
2012,70161275021001,401,4,0
2012,70161275022003,526,1,0
2012,70161275022004,538,0,0
2012,70161280021003,243,0,0
2012,70161280022002,210,0,0
2012,70161280022005,163,0,0
2012,70161280022006,150,1,0
2012,70161300021001,397,0,0
2012,70161300021002,346,3,0
2012,70161300021003,433,1,0
2012,70161300022004,229,0,0
2012,70161300022008,221,0,0
2012,70161300022010,221,0,0
2012,70161300022011,413,0,0
2012,70161300022012,579,2,0
2012,70161300022018,404,1,0
2012,70161300022019,281,3,0
2012,70161300022020,80,1,0
2012,70161300023001,314,0,0
2012,70161320022001,395,0,0
2012,70161320022002,374,0,0
2012,70161320022003,441,0,0
2012,70161330022001,359,0,0
2012,70161330023001,60,0,0
2012,70161350021004,520,1,0
2012,70161350021005,594,4,1
2012,70161350021006,764,6,0
2012,70161350022001,461,3,1
2012,70161350022002,362,2,1
2012,70161350022007,467,7,1
2012,70161350022008,463,1,1
2012,70161350022010,374,3,0
2012,70161350022012,447,7,1
2012,70161350022013,603,3,0
2012,70161400021003,637,6,4
2012,70161400021004,653,0,0
2012,70161400022001,468,3,0
2012,70161400022004,370,6,0
2012,70161400022005,449,2,0
2012,70161400022006,488,6,0
2012,70161400022007,603,8,1
2012,70161420021001,540,3,0
2012,70161420022002,254,2,0
2012,70161420022003,435,3,0
2012,70161420022004,409,7,2
2012,70161430022001,761,4,0
2012,70161430022002,668,5,0
2012,70161430022004,413,2,0
2012,70161430022005,98,0,0
2012,70161435021003,513,0,0
2012,70161435022001,177,0,0
2012,70161435022006,380,1,0
2012,70161435022007,231,0,0
2012,70161435022010,503,0,0
2012,70161440021002,924,3,2
2012,70161440022003,322,0,0
