COUNTY,BEDS Code,SCHOOL_NAME,GRADE_ORG_DESC,AFFILIATION,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,UGE,UGS,KFULL,KHALF,PK,Enrollment
MONROE,260401857742,NORTHSTAR CHRISTIAN ACADEMY,K-12 School,BAPTIST,15,17,20,16,24,19,18,21,23,31,29,34,0,0,18,0,0,285
MONROE,260401999477,HOPE HALL SCHOOL,Junior Senior School,INDEPENDENT,0,0,8,9,12,19,24,26,21,19,19,18,0,0,0,0,0,175
MONROE,260501166192,SAINT LAWRENCE SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,32,29,27,31,27,24,0,0,0,0,0,0,0,0,25,0,19,214
MONROE,260501808815,GREECE CHRISTIAN SCHOOL,Elementary,CHRISTIAN FUNDAMENTALIST,18,25,19,19,20,21,20,19,0,0,0,0,0,0,27,0,38,226
MONROE,260501996191,VILLA OF HOPE,Junior Senior School,INDEPENDENT,0,0,0,0,0,0,1,11,26,21,9,9,0,0,0,0,0,77
MONROE,260501999467,GREECE MONTESSORI SCHOOL,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,58,74
MONROE,260801165157,ST JOHN NEUMANN SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,22,22,24,18,25,23,0,0,0,0,0,0,0,0,14,0,18,166
MONROE,260801166610,BISHOP KEARNEY HIGH SCHOOL,Junior Senior School,ROMAN CATHOLIC - ROCHESTER DIOCESE,0,0,0,0,0,0,30,31,66,59,56,74,0,0,0,0,0,316
MONROE,260801225023,DERECH HATORAH OF ROCHESTER,Elementary,JEWISH,13,8,12,11,11,8,8,9,0,0,0,0,0,0,10,0,0,90
MONROE,260801428508,BAY KNOLL SDA SCHOOL,Elementary,SEVENTH-DAY ADVENTIST,3,2,3,3,1,3,2,3,0,0,0,0,0,0,4,0,3,27
MONROE,260803166171,ST KATERI SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,27,23,17,23,20,15,0,0,0,0,0,0,0,0,37,0,75,237
MONROE,260803994567,ARCHANGEL SCHOOL,Junior Senior School,INDEPENDENT,6,5,7,7,4,5,4,1,6,1,2,0,0,0,7,0,3,58
MONROE,260901808131,LIMA CHRISTIAN SCHOOL,K-12 School,CHRISTIAN FUNDAMENTALIST,9,6,10,5,16,11,12,15,17,20,30,16,0,0,11,0,0,178
MONROE,261101325771,SAINT PAUL LUTHERAN SCHOOL,Elementary,LUTHERAN,15,8,8,9,9,3,8,9,0,0,0,0,0,0,18,3,69,159
MONROE,261201166189,SAINT JOSEPH SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,39,37,32,34,39,38,0,0,0,0,0,0,0,0,36,0,49,304
MONROE,261201166604,OUR LADY OF MERCY HIGH SCHOOL,Junior Senior School,ROMAN CATHOLIC - ROCHESTER DIOCESE,0,0,0,0,0,36,80,64,114,130,127,133,0,0,0,0,0,684
MONROE,261201809352,CHARLES FINNEY SCHOOL (THE),K-12 School,CHRISTIAN FUNDAMENTALIST,7,16,12,16,14,20,19,25,32,44,22,30,0,0,15,0,0,272
MONROE,261201996127,SOUTHEAST CHRISTIAN ACADEMY,Junior Senior School,CHRISTIAN FUNDAMENTALIST,4,2,2,0,5,4,1,7,5,5,4,3,0,0,0,5,5,52
MONROE,261201998352,PENFIELD VILLAGE NURSERY SCHOOL & KINDERGARTEN,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,60,78
