County,BEDS Code,Name,Grade Org,Affiliation,GR1,GR2,GR3,GR4,GR5,GR6,UGE,GR7,GR8,GR9,GR10,GR11,GR12,UGS,FullK,HalfK,PreK,Enrollment
CHAUTAUQUA,060701659832,CLOVER HILL SCHOOL,Elementary,MENNONITES,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6
CHAUTAUQUA,060800139173,NORTHERN CHAUTAUQUA CATHOLIC SCHOOL,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,17,6,10,12,12,11,0,7,9,0,0,0,0,0,9,0,17,110
CHAUTAUQUA,060800808602,CENTRAL CHRISTIAN ACADEMY,Junior Senior School,CHRISTIAN FUNDAMENTALIST,6,9,4,2,2,1,0,4,1,0,1,1,0,0,5,0,20,56
CHAUTAUQUA,061700308038,GUSTAVUS ADOLPHUS CHILD & FAMILY,Junior Senior School,LUTHERAN,0,0,3,0,6,5,0,6,8,7,17,11,3,0,0,0,0,66
CHAUTAUQUA,062601658578,LAKE VIEW SCHOOL,Elementary,MENNONITES,11,6,3,8,4,7,0,5,4,0,0,0,0,0,0,0,0,48
CHAUTAUQUA,062601658579,VALLEY VIEW AMISH SCHOOL,Elementary,MENNONITES,3,3,3,4,5,2,0,3,2,0,0,0,0,0,0,0,0,25
CHAUTAUQUA,062601659163,CLEARVIEW SCHOOL,Elementary,MENNONITES,4,2,3,4,5,6,0,5,5,0,0,0,0,0,0,0,0,34
CHEMUNG,070600166199,HOLY FAMILY ELEMENTARY SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,25,30,19,22,33,13,0,0,0,0,0,0,0,0,21,0,22,185
CHEMUNG,070600166568,NOTRE DAME HIGH SCHOOL,Junior Senior School,ROMAN CATHOLIC - ROCHESTER DIOCESE,0,0,0,0,0,0,0,48,48,49,53,60,58,0,0,0,0,316
CHEMUNG,070600445994,MASTER VINEYARD MISSION ACADEMY,Junior Senior School,SEVENTH-DAY ADVENTIST,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,6
CHEMUNG,070901166200,ST MARY OUR MOTHER SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,11,12,13,18,16,16,0,0,0,0,0,0,0,0,19,0,16,121
CHEMUNG,070901806239,FOUNDATIONS CHRISTIAN SCHOOL,Elementary,CHRISTIAN FUNDAMENTALIST,3,0,5,5,1,2,0,0,0,0,0,0,0,0,4,0,3,23
CHEMUNG,070901855968,HORSEHEADS CHRISTIAN SCHOOL,Elementary,BAPTIST,6,5,6,7,7,12,0,0,0,0,0,0,0,0,4,0,0,47
CHEMUNG,070901858020,TWIN TIERS CHRISTIAN ACADEMY,Junior Senior School,BAPTIST,0,0,0,0,0,0,0,11,20,21,18,19,14,0,0,0,0,103
CHEMUNG,070901999027,CHEMUNG VALLEY MONTESSORI SCHOOL,Elementary,INDEPENDENT,11,11,13,11,11,7,0,5,3,0,0,0,0,0,14,0,26,112
CHENANGO,081200185526,HOLY FAMILY SCHOOL,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,13,9,11,4,10,7,0,0,0,0,0,0,0,0,14,0,19,87
CHENANGO,081200808719,VALLEY HEIGHTS CHRISTIAN ACADEMY,K-12 School,CHRISTIAN FUNDAMENTALIST,3,4,1,1,10,3,0,3,4,8,5,11,5,0,3,0,2,63
CLINTON,090201806219,ADIRONDACK CHRISTIAN SCHOOL,Junior Senior School,CHRISTIAN FUNDAMENTALIST,0,4,0,2,1,4,0,0,0,2,3,0,4,0,3,0,5,28
CLINTON,091101159175,SETON CATHOLIC CENTRAL HIGH SCHOOL,Junior Senior School,ROMAN CATHOLIC - OGDENSBURG DIOCESE,0,0,0,0,0,28,0,20,16,18,22,31,21,0,0,0,0,156
CLINTON,091101858426,LAKE SHORE CHRISTIAN SCHOOL,Junior Senior School,BAPTIST,0,3,2,2,1,4,0,0,1,1,2,2,2,0,5,0,0,25
CLINTON,091200155496,SETON ACADEMY,Elementary,ROMAN CATHOLIC - OGDENSBURG DIOCESE,32,21,24,23,25,0,0,0,0,0,0,0,0,0,22,0,26,173
COLUMBIA,100501997955,HAWTHORNE VALLEY SCHOOL,K-12 School,INDEPENDENT,17,14,25,24,18,16,1,21,24,3,23,16,12,0,28,2,11,255
COLUMBIA,101601996549,DARROW SCHOOL,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,0,21,18,30,41,0,0,0,0,110
COLUMBIA,101601998246,MOUNTAIN ROAD SCHOOL,Elementary,INDEPENDENT,4,2,4,5,3,1,0,1,1,0,0,0,0,0,4,1,6,32
CORTLAND,110200185503,ST MARY'S SCHOOL,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,20,13,11,11,12,14,0,0,0,0,0,0,0,0,10,0,45,136
CORTLAND,110200808583,CORTLAND CHRISTIAN ACADEMY,K-12 School,CHRISTIAN FUNDAMENTALIST,14,12,7,10,10,13,0,12,11,10,16,11,12,0,9,0,6,153
CORTLAND,110200809373,VICTORY CHRISTIAN ACADEMY,Junior Senior School,CHRISTIAN FUNDAMENTALIST,0,3,3,2,2,1,0,2,0,0,1,0,0,0,4,0,0,18
DELAWARE,121901999609,ARC OF DELAWARE COUNTY (THE),Pre-K Only,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23
DUTCHESS,130200805048,NEW COVENANT LEARNING CENTER,Elementary,CHRISTIAN FUNDAMENTALIST,5,2,0,3,6,0,0,0,0,0,0,0,0,0,14,0,7,37
DUTCHESS,130200996177,HUDSON HILLS ACADEMY-BEACON CAMPUS,Elementary,INDEPENDENT,2,2,2,0,0,0,0,0,0,0,0,0,0,0,11,0,26,43
DUTCHESS,130801145067,ST PETER SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,13,16,15,20,21,20,0,21,13,0,0,0,0,0,13,0,90,242
DUTCHESS,130801808737,MILLENNIAL KINGDOM FAMILY SCHOOL,Elementary,CHRISTIAN FUNDAMENTALIST,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,4
DUTCHESS,130801995272,KINDERHAUS MONTESSORI SCH-HYDE PARK,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,10
DUTCHESS,130801996542,ANDERSON CENTER FOR AUTISM,Special School,INDEPENDENT,0,0,0,0,0,0,16,0,0,0,0,0,0,96,0,0,0,112
DUTCHESS,130801997760,"ABILITIES FIRST, INC",Special School,INDEPENDENT,0,0,0,0,0,0,63,0,0,0,0,0,0,66,0,0,0,129
DUTCHESS,131101996465,MILLBROOK SCHOOL,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,0,58,80,86,98,0,0,0,0,322
DUTCHESS,131101996574,MAPLEBROOK SCHOOL,Junior Senior School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,44
DUTCHESS,131101998511,KILDONAN SCHOOL,Junior Senior School,INDEPENDENT,0,1,1,3,5,3,0,4,10,5,10,6,16,0,0,0,0,64
DUTCHESS,131201516740,TRINITY PAWLING SCHOOL,Junior Senior School,EPISCOPAL,0,0,0,0,0,0,0,12,0,41,63,59,72,17,0,0,0,264
DUTCHESS,131201994052,DUANE LAKE ACADEMY,Junior Senior School,INDEPENDENT,0,0,1,0,1,1,0,0,1,2,0,0,0,0,1,0,0,7
DUTCHESS,131201999655,MIZZENTOP DAY SCHOOL,Elementary,INDEPENDENT,8,8,12,11,9,9,0,9,10,0,0,0,0,0,8,0,16,100
DUTCHESS,131500445851,POUGHKEEPSIE SDA ELEMENTARY SCHOOL,Elementary,SEVENTH-DAY ADVENTIST,4,5,3,3,1,5,0,4,1,0,0,0,0,0,5,0,11,42
DUTCHESS,131500858427,TABERNACLE CHRISTIAN ACADEMY,K-12 School,BAPTIST,9,11,9,8,10,12,0,12,6,4,13,12,17,0,8,3,0,134
DUTCHESS,131500995721,WIMPFHEIMER NURSERY SCHOOL,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,19
DUTCHESS,131500999463,RIDGE SCHOOL (THE),Junior Senior School,INDEPENDENT,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,5
DUTCHESS,131601145055,HOLY TRINITY SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,34,29,25,23,17,26,0,13,24,0,0,0,0,0,18,0,62,271
DUTCHESS,131601145060,ST MARTIN DE PORRES SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,38,35,38,37,66,33,0,51,38,0,0,0,0,0,38,0,38,412
