County,BEDS Code,School Name,Grade Org,Affiliation,GR1,GR2,GR3,GR4,GR5,GR6,UGE,GR7,GR8,GR9,GR10,GR11,GR12,UGS,FULLK,HALFK,PREK,Enrollment
DUTCHESS,1.31601E+11,Our Lady Of Lourdes High School,Senior High,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,0,193,187,179,170,0,0,0,0,729
DUTCHESS,1.31602E+11,Poughkeepsie Day School,K-12 School,INDEPENDENT,12,16,20,18,19,11,0,27,18,27,35,23,22,0,7,0,10,265
DUTCHESS,1.31602E+11,Hawk Meadow Montessori School,Elementary,INDEPENDENT,6,5,4,6,5,6,0,3,5,1,0,0,0,0,14,0,28,83
DUTCHESS,1.31603E+11,Oakwood Friends School,Junior Senior School,QUAKERS,0,0,0,0,0,5,0,10,7,17,24,35,47,0,0,0,0,145
DUTCHESS,1.31702E+11,Devereux In New York,Special School,INDEPENDENT,0,0,0,0,0,0,42,0,0,0,0,0,0,105,0,0,0,147
DUTCHESS,1.31802E+11,Primrose Hill School,Elementary,INDEPENDENT,3,8,3,10,0,0,0,0,0,0,0,0,0,0,9,0,2,35
DUTCHESS,1.31802E+11,Astor Services For Children And Families,Elementary,INDEPENDENT,9,15,18,20,23,15,0,22,12,0,0,0,0,0,1,0,273,408
DUTCHESS,1.32101E+11,Saint Denis/Saint Columba School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,22,28,16,35,22,23,0,19,44,0,0,0,0,0,29,0,0,238
DUTCHESS,1.32101E+11,Saint Mary School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,10,8,12,7,16,16,0,15,17,0,0,0,0,0,14,0,21,136
DUTCHESS,1.32101E+11,Saint Mary School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,24,31,32,34,37,31,0,32,35,0,0,0,0,0,23,0,0,279
DUTCHESS,1.32102E+11,Faith Christian Academy,K-12 School,CHRISTIAN FUNDAMENTALIST,18,13,20,16,15,13,0,29,24,20,26,21,22,0,18,0,14,269
DUTCHESS,1.32102E+11,Randolph School (The),Elementary,INDEPENDENT,7,4,6,5,4,0,0,0,0,0,0,0,0,0,12,0,23,61
DUTCHESS,1.32202E+11,Upton Lake Christian School,K-12 School,CHRISTIAN FUNDAMENTALIST,3,6,2,5,9,3,0,4,5,7,4,5,4,0,3,0,0,60
DUTCHESS,1.32202E+11,Dutchess Day School (The),Elementary,INDEPENDENT,11,14,13,22,12,16,0,15,23,0,0,0,0,0,16,0,15,157
DUTCHESS,1.32202E+11,Cardinal Hayes School For Special Children,Special School,INDEPENDENT,0,0,0,0,0,0,25,0,0,0,0,0,0,33,0,0,0,58
