County,BEDS Code,School Name,Grade Org Desc,Affiliation,GR 1,GR 2,GR 3,GR 4,GR 5,GR 6,GR 7,GR 8,GR 9,GR 10,GR 11,GR 12,UGE,UGS,FULLK,HALFK,PREK,Enrollment
COLUMBIA,101601998246,Mountain Road School,Elementary,INDEPENDENT,6,6,2,6,1,3,1,1,0,0,0,0,0,0,5,0,13,44
CORTLAND,110200185503,Saint Mary'S School,Elementary,ROMAN CATHOLIC - SYRACUSE DIOCESE,22,15,16,20,22,18,11,11,0,0,0,0,0,0,16,0,37,188
CORTLAND,110200808583,Cortland Christian Academy,K-12 School,CHRISTIAN FUNDAMENTALIST,7,10,8,11,11,9,12,8,12,10,13,6,0,0,10,0,9,136
CORTLAND,110200809373,Victory Christian Academy,Junior Senior School,CHRISTIAN FUNDAMENTALIST,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,3,0,9
DELAWARE,120501999934,White Lotus School,Junior Senior School,INDEPENDENT,0,0,0,1,0,0,2,0,0,3,1,2,0,0,0,0,0,9
DELAWARE,120906999098,Allynwood Academy,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,8
DELAWARE,121901999609,Arc Of Delaware County (The),Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,17,213
DUTCHESS,130200805048,New Covenant Learning Center,Elementary,CHRISTIAN FUNDAMENTALIST,4,6,3,4,4,0,0,0,0,0,0,0,0,0,4,0,2,27
DUTCHESS,130200809895,Alpha And Omega School,Elementary,CHRISTIAN FUNDAMENTALIST,2,2,3,1,0,0,0,0,0,0,0,0,0,0,5,0,19,32
DUTCHESS,130200996177,Hudson Hills Academy-Beacon Campus,Elementary,INDEPENDENT,6,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,44,58
DUTCHESS,130801145067,Saint Peter School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,19,21,30,25,20,23,22,20,0,0,0,0,0,0,25,0,55,260
DUTCHESS,130801145068,Regina Coeli School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,14,14,11,16,10,12,11,12,0,0,0,0,0,0,13,0,33,146
DUTCHESS,130801808737,Millennial Kingdom Family School,Elementary,CHRISTIAN FUNDAMENTALIST,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
DUTCHESS,130801995272,"Kinderhaus Montessori School Of Hyde Park, Inc",Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,13
DUTCHESS,130801996542,Anderson Center For Autism,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,16,101,0,0,0,117
DUTCHESS,130801997760,"Abilities First, Inc",Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,43,40,0,0,0,83
DUTCHESS,131101996465,Millbrook School,Senior High,INDEPENDENT,0,0,0,0,0,0,0,0,56,76,82,77,0,0,0,0,0,291
DUTCHESS,131101996574,Maplebrook School,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,55
DUTCHESS,131101998511,Kildonan School,Junior Senior School,INDEPENDENT,0,1,1,1,4,9,8,4,16,10,13,10,0,0,0,0,0,77
DUTCHESS,131201516740,Trinity Pawling School,Junior Senior School,EPISCOPAL,0,0,0,0,0,0,9,12,39,70,67,102,0,0,0,0,0,299
DUTCHESS,131201994052,Duane Lake Academy,Junior Senior School,INDEPENDENT,0,2,1,1,3,1,1,2,1,0,0,2,0,0,2,0,0,16
DUTCHESS,131201999655,Mizzentop Day School,Elementary,INDEPENDENT,10,10,9,9,9,15,14,10,0,0,0,0,0,0,8,0,22,116
DUTCHESS,131500445851,Poughkeepsie Sda Elementary School,Elementary,SEVENTH-DAY ADVENTIST,6,0,4,2,1,1,1,0,0,0,0,0,0,0,4,0,7,26
DUTCHESS,131500858427,Tabernacle Christian Academy,K-12 School,BAPTIST,8,5,8,9,3,14,10,13,15,13,7,4,0,0,10,1,0,120
DUTCHESS,131500995721,Wimpfheimer Nursery School,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,23
DUTCHESS,131500999463,Ridge School (The),Elementary,INDEPENDENT,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,4
DUTCHESS,131500999527,Hawk Meadow Montessori School,Other,INDEPENDENT,5,9,7,6,4,5,2,0,0,0,0,0,0,0,11,0,44,93
DUTCHESS,131601145055,Holy Trinity School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,26,24,30,13,23,21,13,23,0,0,0,0,0,0,32,0,63,268
DUTCHESS,131601145060,Saint Martin De Porres School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,38,67,31,63,38,36,35,34,0,0,0,0,0,0,38,0,73,453
DUTCHESS,131601145065,Our Lady Of Lourdes High School,Senior High,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,177,168,165,165,0,0,0,0,0,675
DUTCHESS,131601997124,Poughkeepsie Day School,K-12 School,INDEPENDENT,23,18,18,10,27,20,17,29,21,23,29,38,0,0,10,0,5,288
DUTCHESS,131602606741,Oakwood Friends School,Junior Senior School,QUAKERS,0,0,0,0,2,4,6,5,31,39,35,25,0,0,0,0,0,147
DUTCHESS,131701999086,Devereux In New York,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,30,117,0,0,0,147
DUTCHESS,131801998687,Astor Services For Children And Families,Elementary,INDEPENDENT,10,12,13,21,32,19,19,0,0,0,0,0,0,0,3,0,287,416
DUTCHESS,132101145054,Saint Denis/Saint Columba School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,20,37,33,25,30,47,46,39,0,0,0,0,0,0,24,0,0,301
DUTCHESS,132101145061,Saint Mary School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,14,16,22,14,22,19,16,24,0,0,0,0,0,0,16,0,22,185
DUTCHESS,132101145062,Saint Mary School,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,32,33,33,33,33,34,34,29,0,0,0,0,0,0,26,0,0,287
DUTCHESS,132101808641,Faith Christian Academy,K-12 School,CHRISTIAN FUNDAMENTALIST,13,11,14,14,16,16,17,19,17,19,9,13,0,0,12,0,11,201
DUTCHESS,132101997683,Randolph School (The),Elementary,INDEPENDENT,7,5,5,9,3,0,0,0,0,0,0,0,0,0,9,0,25,63
DUTCHESS,132201808016,Upton Lake Christian School,K-12 School,CHRISTIAN FUNDAMENTALIST,2,6,5,2,4,5,7,9,9,5,6,6,0,0,6,0,0,72
DUTCHESS,132201996576,Dutchess Day School (The),Elementary,INDEPENDENT,12,19,17,18,15,23,21,23,0,0,0,0,0,0,13,0,12,173
DUTCHESS,132201998894,Cardinal Hayes School For Special Children,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,13,34,0,0,0,47
ERIE,140101136379,Saint John The Baptist School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,12,14,17,12,22,9,15,9,0,0,0,0,0,0,19,0,16,145
ERIE,140201136377,Buffalo Academy Of The Sacred Heart,Senior High,ROMAN CATHOLIC BUFFALO DIOCESE,0,0,0,0,0,0,0,0,137,142,113,106,0,0,0,0,0,498
ERIE,140201136411,Saint Benedict School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,19,15,21,13,10,22,12,15,0,0,0,0,0,0,24,0,30,181
ERIE,140201136433,Christ The King School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,21,23,22,28,22,25,27,17,0,0,0,0,0,0,25,0,20,230
ERIE,140201205429,Kadimah School Of Buffalo,Elementary,JEWISH,7,5,1,2,4,5,4,6,0,0,0,0,0,0,6,0,9,49
ERIE,140201997077,Park School Of Buffalo,K-12 School,INDEPENDENT,12,17,15,18,24,12,17,15,28,31,39,30,0,0,16,0,24,298
