County,School Year,Percent_PBE
Erath,2015-2016,1.32
Erath,2016-2017,0.91
Erath,2017-2018,1.08
Falls,2010-2011,0.08
Falls,2011-2012,0.09
Falls,2012-2013,0.09
Falls,2013-2014,0
Falls,2014-2015,0.14
Falls,2015-2016,0.23
Falls,2016-2017,0.43
Falls,2017-2018,0.14
Fannin,2010-2011,0.74
Fannin,2011-2012,0.98
Fannin,2012-2013,0.91
Fannin,2013-2014,0.86
Fannin,2014-2015,0.93
Fannin,2015-2016,0.91
Fannin,2016-2017,1.07
Fannin,2017-2018,1.14
Fayette,2010-2011,0.5
Fayette,2011-2012,0.69
Fayette,2012-2013,0.68
Fayette,2013-2014,0.94
Fayette,2014-2015,1.05
Fayette,2015-2016,0.92
Fayette,2016-2017,0.89
Fayette,2017-2018,0.49
Fisher,2010-2011,1.37
Fisher,2011-2012,1.51
Fisher,2012-2013,1.07
Fisher,2013-2014,1.94
Fisher,2014-2015,
Fisher,2015-2016,0.57
Fisher,2016-2017,0.59
Fisher,2017-2018,0.99
Floyd,2010-2011,0
Floyd,2011-2012,0.08
Floyd,2012-2013,0
Floyd,2013-2014,0.09
Floyd,2014-2015,0
Floyd,2015-2016,0.16
Floyd,2016-2017,0.17
Floyd,2017-2018,0.23
Foard,2010-2011,0.43
Foard,2011-2012,0
Foard,2012-2013,0
Foard,2013-2014,0
Foard,2014-2015,0
Foard,2015-2016,0
Foard,2016-2017,0.44
Foard,2017-2018,0
Fort Bend,2010-2011,0.32
Fort Bend,2011-2012,0.39
Fort Bend,2012-2013,0.45
Fort Bend,2013-2014,0.57
Fort Bend,2014-2015,0.5
Fort Bend,2015-2016,0.45
Fort Bend,2016-2017,0.54
Fort Bend,2017-2018,0.58
Franklin,2010-2011,0.33
Franklin,2011-2012,0.53
Franklin,2012-2013,0.26
Franklin,2013-2014,0.38
Franklin,2014-2015,0.5
Franklin,2015-2016,0.75
Franklin,2016-2017,0.83
Franklin,2017-2018,0.64
Freestone,2010-2011,0.56
Freestone,2011-2012,0.54
Freestone,2012-2013,0.65
Freestone,2013-2014,0.7
Freestone,2014-2015,0.87
Freestone,2015-2016,0.76
Freestone,2016-2017,0.86
Freestone,2017-2018,0.99
Frio,2010-2011,0.17
